kode_user,message,clean_text,severity,predicted_severity
KP2308,untuk tf caranya bagaimana ya,tf iya,1,1
GJ0336,Kak klo mau bayar wfi ke lewat bri no ganti lagi t,kak bayar wfi bri ganti t,1,1
KT1162,malah tambah lag kak,lag kak,2,2
KT1162,ini knp malah mati wifi nya,mati wifi nya,2,2
KT1981,Notif pembayaran belum... Tp sudah bayar,notif bayar belum bayar,1,1
KT2068,permisi mas ini bisa TF langsung kan,permisi mas tf,1,1
JT0792,"masih putus² kak , tp sudah tersambungg",putus kak tersambungg,2,2
KT2068,ini bisa via transfer langsung kan ke bank BCA,via transfer bank bca,1,1
KT2068,saya transfer ke BCA lewat dana,transfer bca dana,1,1
KT2068,saya sudah transfer,transfer,1,1
KT1162,tambah lag bngt ka,lag bngt kakak,2,2
KP1230,"Pagi, Kak  Saya Field Support dari Kapten Naratel, ingin  melakukan kunjungan ke lokasi Kakak untuk menjelaskan  mengenai aplikasi baru Kapten Naratel. Dalam kunjungan ini, kami ingin memperkenalkan fitur Turbo,  di mana Kakak berkesempatan mendapatkan GRATIS +5  Mbps tambahan!    🗓 Tanggal:Jumat 3 Oktober   🕐 waktu: sore  Mohon konfirmasi kesediaannya untuk menerima kunjungan  dari kami. Terima kasih banyak atas perhatian dan waktunya  Salam,Field Support – Kapten Naratel  apakah ini benar chat petugas dari naratel? dengan nomor 083832506548 ?",pagi kak field support kapten naratel kunjung lokasi kakak aplikasi kapten naratel kunjung kenal fitur turbo kakak sempat gratis mbps tambah tanggal jumat oktober sore mohon konfirmasi sedia terima kunjung terima kasih perhati salam field support kapten naratel chat tugas naratel nomor,1,1
KD1191,Sy mau aktifkan lg paket internet sy bisa ya,aktif paket internet iya,1,1
KD1191,Klau mau upgrade paket gmn ya,klau upgrade paket gmn iya,1,1
"KM2760, KP0525",Wifi gk bisa masuk apk katalog toko saya,wifi gk masuk apk katalog toko,1,1
KM3657,Kak bayar wifi lewat aplikasi kapten naratel bisa?,kak bayar wifi aplikasi kapten naratel,1,1
KI0601,Apa bsa lewat transfer?,transfer,1,1
KI0601,Klo mau ganti ke paket ini apa bisa kk?  Dan bagaimana caranya?,ganti paket kakak,1,1
KN0632,Jaringan wifi gangguan dari tadi malam,jaring wifi ganggu malam,2,2
KT1861,kak udah bayar y tolong cek,kak bayar cek,1,1
KT0176,Ini sy mau ganti password wifi,ganti password wifi,1,1
STJT0013,"kak ini internet sy tiba2 no internet connection dan tidak bisa masuk login page, bisa dibantu reset kan kak?",kak internet internet connection tidak masuk login page bantu reset kak,1,1
KM2051,Sya udh TF ka utk pembayarannya,sya udh tf kakak bayar,1,1
KN0590,wifi nya mati kak,wifi nya mati kak,2,2
"KM2760, KP0525",Pake data.. bisa masuk apk...,pakai data masuk apk,1,1
KP0992,kak wifi dirumah kenapa akhir2 ini sering lemot ya? jaringan ny jg sering gada,kak wifi rumah lambat iya jaring ny gada,2,2
KT1520,kak mau bayar wiif,kak bayar wiif,1,1
"KT0890, KT0893, KT0891, KT1356",Selamat malam wifi mati dari kemarin,selamat malam wifi mati,2,2
"KT0890, KT0893, KT0891, KT1356",Apa waktunya bayar,bayar,1,1
KM3800,Rencana mau pasang 1 d depan rumah,rencana pasang rumah,1,1
KI2005,Konfirmasi pembayaran bulan Oktober kak 🙏,konfirmasi bayar oktober kak,1,1
KM3780,Tetep gini kak ad nyala merahnya,tetep gin kak nyala merah,1,1
KP2279,apa bisa dilihat bandwith wifi yang terpakai di smart tv berapa MBps kak?,bandwith wifi pakai smart tv mbps kak,1,1
KI2005,"Permisi kak,saya mau tanyak tentang paket superstar 30 Mbps ,ini modem nya beli sendiri yah kak,apa perbulan bisa di perpanjang",permisi kak tanyak paket superstar mbps modem nya beli yah kak bulan panjang,1,1
KP2279,"saya beli yang 10 Mbps yang kapten naratel 175k, tapi dibuat smart tv lelet baget ka",beli mbps kapten naratel smart tv lambat baget kakak,2,1
KP2279,nah tapi kenapa lelet ya kak,lambat iya kak,2,2
KP2279,ini saya makai yang 10 Mbps tapi masih lelet kak,maka mbps lambat kak,2,2
KP0687,Sudah bayar kak,bayar kak,1,1
KP2279,"soalnya sehari setelah di reset lancar kak, besoknya lelet lagi kak",hari reset lancar kak besok lambat kak,2,2
KP2279,ini bayar 3 bulan beneran 100Mbps kak?,bayar beneran mbps kak,1,1
KP2279,tapi bisa di cek dari sistem pusat ngga kak?,cek sistem pusat tidak kak,1,1
KP2279,untuk smart tv saya mengkonsumsi berapa bandwidth?,smart tv konsumsi bandwidth,1,2
KP0672,Mengapa akhir2 ini sering trouble?,trouble,2,2
"STKT0020, STKT0021","Selamat Malam. Mau tanya min, Kalau mau aktifkan port LAN di paket Superstar caranya bagaimana ya?",selamat malam min aktif port lan paket superstar iya,1,1
KP1796,Kok sering gangguan ya pak...,ganggu iya,2,2
KI2639,Apakah masih harus bayar teknisinya,bayar teknisi,1,1
KT1052,Mau bayar nya dibriva,bayar nya dibriva,1,1
"KI1382, KI3430",Saya mau bayar masukan no rekening nya kq g bisa ya,bayar masuk rekening nya kq g iya,1,1
KI2872,ini wifinya tumben kok lemot bgt kenapa ya🙏🏼,wifinya tumben lambat banget iya,2,2
KP1602,Q sdh bayar tapi kok fi aplikasi masih belum ganti ya,q sdh bayar fi aplikasi belum ganti iya,1,1
"KI1382, KI3430",Setelah ada pemberitahuan BCA ag kesulitan+ ada biaya admin nya,pemberitahuan bca ag sulit biaya admin nya,1,1
KM1727,Wifi jadi lemot,wifi lambat,2,2
KI2906,Iya kak Fasilitas gratisnya 10 mbps Saya sudah upgrade ke 20 mbps (jadi selama ini bayar sisanya),iya kak fasilitas gratis mbps upgrade mbps bayar sisa,1,1
KI2906,Rencana kami upgrade lagi jadi bayar sisanya,rencana upgrade bayar sisa,1,1
KT2134,Permisi kak Mau pasang wifi,permisi kak pasang wifi,1,1
KT2134,Klo boleh tau paket nya apa aja kak?,paket nya kak,1,1
KM0599,Tlong tagihan wifi,tlong tagih wifi,1,1
KT2134,Oalah begitu baik kak  Klo bisa disambungin mungkin kami mau pilih paket itu,oalah kak disambungin pilih paket,1,1
KM2259,Wifi y gangguan ka kk,wifi ganggu kakak kakak,2,2
KM3242,Maaf mau tanya...Gak ada jaringan internet ya kak...apa lagi trouble🙏🏻🙏🏻,maaf gak jaring internet iya kak trouble,2,2
KD0687,Kak tolong wifinya lemot,kak wifinya lambat,2,2
KT2094,Yang depan masuk ke kamar cuman 3 batas kalo di luar baru full mas,masuk kamar cuman batas full mas,1,1
KT2094,@135897110601733 mas wifi depan kok akhr akhr ini gbisaa ya mas soalnya saya zoom trus itu wifinya engga konek gd koneksi suka gangguan,mas wifi akhr akhr gbisaa iya mas zoom trus wifinya engga konek gd koneksi suka ganggu,2,2
KD1328,Di saya tagihanya masih yg paket lama kak,tagihanya paket kak,1,1
KT2094,antara 2 itu coba cek,coba cek,1,1
"KT0410, KT1713, KT1923",Shga tagihan bln depan bisa ke Bp Haryo,shga tagih bp haryo,1,1
KD0682,Beliau masih tanyaa harga dulu kak,tanyaa harga kak,1,1
KD0682,Klo untuk pasang biaya nya brp kak?,pasang biaya nya kak,1,1
"KT0410, KT1713, KT1923",Tagihan bln depan ke pk Haryo ya,tagih jahat kelamin haryo iya,1,1
"KT0410, KT1713, KT1923",Per tgl berapa,tanggal,1,1
KD1693,"Kak, saya mau bayar biaya bulanan melalui mBanking BCA, nomor VA-nya berapa ya kak? 🙏😊",kak bayar biaya bulan mbanking bca nomor va nya iya kak,1,1
KI3401,Transfer aja kak,transfer kak,1,1
KP1902,Ada gangguan kah kak?,ganggu kak,2,2
KP1961,"Kk ini wifi saya tersambung tanpa internet lg, apakah ada gangguan",kakak wifi sambung internet ganggu,2,2
KP1016,Kaak yaapseh Iki kok tiap hari ngeleg terus wifinyaa🥴😬,kaak yaapseh iki ngeleg wifinyaa,2,2
KM0334,Ada gangguan ka,ganggu kakak,2,2
KM0411,"Wafi saya beberapa hari lemot mot mot dan tidak stabil banget, ini skrg malah ngak bisa dipakai, kemarin juga sudah saya laporkan ke kantor kapten  ID Pelanggan KM0411",wafi lambat mot mot tidak stabil banget skrg ngak pakai lapor kantor kapten id langgan,2,2
KM2409,Apakah wifi gangguan,wifi ganggu,2,2
KP0350,Tlomg cek in,tlomg cek in,1,1
KM1357,Naratel lagi gangguan ta,naratel ganggu ta,2,2
KP1228,Wifi cfe petaunan ismanda coffee eror trs harap di cek y🙏🙏,wifi cfe taun ismanda coffee eror harap cek,1,1
KM1357,G ada pemberitahuan taw2 gangguan😪,g pemberitahuan ganggu,2,2
KM3355,Hari ini wifi saya kok lemot ya,wifi lambat iya,2,2
KM3572,Kak kok gak ada konfirmasi waktu pembayaran.punya saya akhirnya gak bisa wifinya skr,kak gak konfirmasi bayar gak wifinya skr,1,1
KP0902,Jaringan gangguan kak,jaring ganggu kak,2,2
KM3522,"Kenapa sekarang kapten naratel ko g seperti dulu,,,sekarang sering lemot wifix",kapten naratel ko g lambat wifix,2,2
KP1221,"wifi nya knp ya apa sedang gangguan, krn tdk ada koneksi sm skali",wifi nya iya ganggu tidak koneksi sm skali,2,2
KM1393,"kak,  internetnya mati",kak internetnya mati,2,2
KM1393,apa ada gangguan?,ganggu,2,2
KM3713,Kak wifi trouble,kak wifi trouble,2,2
KM1057,"Selamat sore,  Mau bayar lewat bca VA gak bisa masuk (kedaluwarsa)  Terima kasih",selamat sore bayar bca va gak masuk kedaluwarsa terima kasih,1,1
KJ0686,"Klo transfer , yang pakai ios g ada aplikasinya",transfer pakai ios g aplikasi,1,1
KI1967,Transfer lgsg ke rekening bisa gk,transfer rekening gk,1,1
KM3967,Apakah bulan oktober saya sudah bayar,oktober bayar,1,1
KP0676,Kak kalau bayar melalui alfamart caranya gimana kak,kak bayar alfamart kak,1,1
KP2134,Selamat siang mohon  infonya u/bayar tagihan sy hrs bayar Kemana ato trf kmn🙏,selamat siang mohon info bayar tagih bayar trf kmn,1,1
KM0688,WiFi gangguan ya,wifi ganggu iya,2,2
KP2307,Tetap nyala merah,nyala merah,1,1
KM3841,Internet gangguan terus aja,internet ganggu,2,2
KM3242,"Kok akhir"" ini sering lemot ya kak🥹🙏🏻",lambat iya kak,2,2
KM3114,Hallo kak saya sudah tf,hallo kak tf,1,1
GJ0382,Sy mau bayar wifi nih Pake aplikasi shopee bisa g,bayar wifi pakai aplikasi shopee g,1,1
KM2470,Kak wifi nya ada trouble kah? Kok dari tadi sore lambat sampai skrng,kak wifi nya trouble sore lambat skrng,2,2
KM0233,Rugi Saya Bayar Terus Menerus Wifi-nya kak,rugi bayar terus wifi nya kak,3,1
KT2134,Paket ini apakah bisa?,paket,1,1
KM1662,Kak ini kok jaringannya lemot yaaaa,kak jaring lambat yaaaa,2,2
KP1043,tiktok jg lag2,tiktok lag,2,2
KI2618,Saya mau bayar briva kak,bayar briva kak,1,1
KT2134,Boleh deh kak paket yang 15mb,deh kak paket mb,1,1
KP2073,mau bayar lewat dana kak,bayar dana kak,1,1
KT2134,Kak mau nanya  Klo mau cabut wifi sebelum 12 bulan ada dendanya kah?,kak pergi wifi denda,4,1
KI1156,wifinya mati lagi,wifinya mati,2,2
KP1043,wifi lemot lagi ya,wifi lambat iya,2,2
KN0018,Terima kasih telah menghubungi Murti_Wedding12. Silakan beri tahu apa yang dapat kami bantu. Nama :  Alamat desa / kabupaten :  No hp :  Untuk tgl acara : Waktu acara :  Yang ditanyakan Pricelist apa :   Terimaksih chat masuk akan segera kami balas yha kak ☺️,terima kasih hubung murti wedding sila bantu nama alamat desa kabupaten hp tanggal pricelist terimaksih chat masuk balas yha kak,1,1
"STKT0020, STKT0021","Malam Kak, Saya mau pasang  wifi yg superstar lagi untuk di lantai 2 rumah saya. bisa minta tolong di proseskan?",malam kak pasang wifi superstar lantai rumah proses,1,1
"STKT0020, STKT0021",pasang 2 id di satu rumah beda lantai bisa kan kak?,pasang id rumah beda lantai kak,1,1
"STKT0020, STKT0021",jadi yang saya pasang kemaren buat di lantai 1.  lalu yg mau saya pasang ini buat di lantai 2.,pasang lantai pasang lantai,1,1
KT2072,sya pindah di paket superstar bisa ng pak,sya pindah paket superstar ng,1,1
KT2072,Kok yg 15 mbps ini sangat lelet ya,mbps lambat iya,2,2
KM1771,maaf sy msh diluar tgg tak konfirmasi sbntr lg,maaf luar tgg tidak konfirmasi sbntr,1,1
"STKT0020, STKT0021",sama seperti kemaren kak. yang 100mbps promo 3bln free modem,kak mbps promo free modem,1,1
KT1914,Hallo kak mau bayar Wi-Fi  Nomor VA nya masih sama ya?,hallo kak bayar wi fi nomor va nya iya,1,1
KP2073,mau bayar kak,bayar kak,1,1
"STKT0020, STKT0021","Okay, jadi pemasangan saya yg baru ini akan dapat kode referral dari pemasangan saya sebelumnya ya kak?  lalu untuk keuntungan Rp. 30.000 itu untuk pemasangan sebelumnya yaa?  yang berupa potongan harga? spt voucher begitu?",okay pasang kode referral pasang iya kak untung rp pasang yaa potong harga voucher,1,1
KD1540,Mas minta bca virtual soalnya mau bayar,mas bca virtual bayar,1,1
KT2072,Soalnya yg kapten itu lelet skli pak,kapten lambat skli,2,2
KP2066,Gimana caranya ganti paket ya,ganti paket iya,1,1
KP2073,"Yth. Pelanggan,  Berikut informasi terkait layanan yang terdaftar:  ID Pelanggan   : KP2073 Paket Layanan  : 5 Harga Paket   : Rp 120.000  Metode pembayaran yang tersedia:  BCA VA   Jumlah  : Rp 123.000   Nomor  : 15412000000000017947  BRI VA   Jumlah  : Rp 122.500   Nomor  : 57889360007498740  Alfamart   Jumlah  : Rp 125.000   Kode   : 1001452555410  Indomaret   Jumlah  : Rp 125.000   Kode   : 452555411  Nama Terdaftar: Zamroni",yth langgan informasi kait layan daftar id langgan kp paket layan harga paket rp metode bayar sedia bca va rp nomor bri va rp nomor alfamart rp kode indomaret rp kode nama daftar zamroni,1,1
KT1990,kak mau tanya apakah skrng msih bisa bayar wifi ya soalnya kemarin belum bayar kak jadi skrng kami mau bayar,kak skrng msih bayar wifi iya belum bayar kak skrng bayar,1,1
KT1672,Apa wifi trouble ya?,wifi trouble iya,2,2
"KT0691, KD0907",Krn lemot sekali kak...saya curiga tetangga sebelah memakainya,lambat kak curiga tetangga belah maka,2,2
"KT0691, KD0907",Selamat MLM kak  Saya ingin ganti password wifi saya Krn ada yg nembak jaringan seperti nya...mungkin apa ada panduan nya kak dr naratel   Terima kasih,selamat mlm kak ganti password wifi nyata cinta jaring nya pandu nya kak dr naratel terima kasih,1,1
"KT1258, KT1310","Mohon bantuannya mau bayar tidak bisa, 12575",mohon bantu bayar tidak,1,1
KM0277,Kalau bayar d indomaret gmn ya,bayar indomaret gmn iya,1,1
STKI0016,Sy skrg pakai paket kapten,skrg pakai paket kapten,1,1
KT2072,Sya masih di luar jadi blm bisa cabut adaptornya,sya belum pergi adaptor,4,1
KI2906,Baik kk kalau begitu saya pakai yg sesuai dengan paket yg sekarang,kakak pakai paket,1,1
KD1034,Sudah bayar tagihan internet barusan,bayar tagih internet barusan,1,1
"KT0410, KT1713, KT1923",Sudah dik tdi kan sdh bayar,dik sdh bayar,1,1
KT1990,kami bayar langsung pakai BCA aja ya kak,bayar pakai bca iya kak,1,1
"KT0410, KT1713, KT1923",Kalo agak lama saya putus in dik,putus in dik,2,1
KM1662,Bisa cumak lemot sekali kak,cumak lambat kak,2,2
KT1990,"Dear Sobat Kapten,  ID Pelanggan: KT1990 Nama: Alfrida Paket: 10 Mbps Jatuh Tempo: 03 Oktober 2025 Total Tagihan: Rp 178.000 (sudah termasuk ppn dan biaya layanan) Nomor VA BCA: 1541200000 0000017824 (hanya dapat dibayar melalui rekening Bank BCA)  Note: 1. Jika membutuhkan metode pembayaran lain (Alfamart, Indomaret, atau bank lain), silakan instal aplikasi Kapten Naratel. 2. Per September 2025, seluruh notifikasi akan dikirimkan melalui aplikasi dan tidak lagi melalui WhatsApp. 3. Nomor VA BCA tetap tidak berubah setiap bulan.  Unduh aplikasi Kapten Naratel di Play Store:  https://play.google.com/store/apps/details?id=com.kaptennaratel.app  Panduan instalasi aplikasi:  https://youtube.com/shorts/pDNGBPZ0Avk  Panduan pembayaran melalui aplikasi:  https://youtube.com/shorts/NWGcaaD5_Eo?feature=share  Apabila mengalami kendala instalasi atau pembayaran,  silakan hubungi Customer Service Kapten Naratel ☎ +62 882-1202-2222  Terima kasih 🙏🏻",dear sobat kapten id langgan nama alfrida paket mbps jatuh tempo oktober total tagih rp ppn biaya layan nomor va bca bayar rekening bank bca note butuh metode bayar alfamart indomaret bank sila instal aplikasi kapten naratel september notifikasi kirim aplikasi tidak whatsapp nomor va bca tidak ubah unduh aplikasi kapten naratel play store pandu instalasi aplikasi pandu bayar aplikasi alami kendala instalasi bayar sila hubung customer service kapten naratel terima kasih,1,1
"KM1783, KM3896","kak, KM1783 baru aja bayar via VA BRI. mohon utk bisa diaktifkan kembali ya kak",kak bayar via va bri mohon aktif iya kak,1,1
KM1325,Terima kasih telah menghubungi Sugiarto Wibowo. Silakan beri tahu apa yang dapat kami bantu.,terima kasih hubung sugiarto wibowo sila bantu,2,1
KI2906,Ini bisa dipakai berapa kali kak?,pakai kak,1,1
KD1806,Bagaimana cara bayar melalui m banking,bayar m banking,1,1
KD1806,Masuk kemana dulu 🤭,masuk,1,1
KM0609,Iya nyala lampu merah,iya nyala lampu merah,1,1
KM0609,Sudah tapi masih nyala merah,nyala merah,1,1
GJ0394,"Slamat malam Minta tolong wifinya kol tersambung tanpa internet,kliatanya ad kabel yg terputus stelah ad acara karnaval kmren d wilayah tirto utomo",slamat malam wifinya kol sambung internet kliatanya kabel putus karnaval kmren wilayah tirto utomo,2,2
KT1317,Hallo kak kenapa ya kak akhir² ini Wifi-nya suka lemott ya,hallo kak iya kak wifi nya suka lemott iya,2,1
KM2470,Untuk internet nya kok agak lag ya setiap liat story muter muter terus,internet nya lag iya lihat story muter muter,2,2
KD1806,Maaf kk.. blom bayar karena mbanking error. 😭. Jatuh tempo/batas pembayaran  sampai jam berapa?,maaf kakak blom bayar mbanking error jatuh tempo batas bayar jam,1,1
KD0834,Mau bayar via VA bca kok gabisa,bayar via va bca gabisa,1,1
KT0615,Bos mau' bayar wifi,bos bayar wifi,1,1
KT0615,Cara masuk ke aplikasi naratel bagaimana,masuk aplikasi naratel,1,1
KD1542,sudah saya tf ya kak,tf iya kak,1,1
KM1954,"Assalamualaikum wr wb  Ini sinyal wifi khusus dirumah saya kenapa akhir2 ini kok tdk stabil dan ini sdh berjalan -+ 5 hari, padahal modemx baru bulan kemarin diganti,jadi ini membuat sy kecewa sekali karena setiap sy buka yutup atau aplikasi lain itu selalu muter2,JD tlg dan mohon segera dikondisikan bos....🙏🙏🙏",assalamualaikum wr wb sinyal wifi rumah tidak stabil sdh jalan modemx ganti kecewa buka yutup aplikasi muter tlg mohon kondisi bos,3,2
"KM2901, KM2902, KM3618",Ini apa gangguan d semua daerah?,ganggu daerah,2,2
KI3162,Ya ..gagal transfer. Minta no VA BRI....,iya gagal transfer va bri,1,1
STKP0037,mau daftar langganan untuk paket reguler yg 5Mbps,daftar langgan paket reguler mbps,1,1
STKP0037,saya udah telanjur pilih paket yg 5mbps kalo di ganti ke paket superstar apa bisa ??,pilih paket mbps ganti paket superstar,1,1
KP0271,Lewat aplikasi berati bayar nya?,aplikasi berat bayar nya,1,1
STKP0037,karena sudah terlanjur daftar yg paket reguler,lanjur daftar paket reguler,1,1
KP0271,Kalau boleh tau ini bayar berapa min 123 ribu,bayar min,1,1
KP0271,Ini kak bukti tf nya,kak bukti tf nya,1,1
KI0290,Mohon info kenapa jam2 pagi jam 5 sd 7 ada mati  wifi trims,mohon informasi jam pagi jam sd mati wifi terima kasih,2,1
STKP0037,pembayarannya transfer kak,bayar transfer kak,1,1
KP2060,Kenapa masih ada tagihan?,tagih,1,1
KD0908,Kak mau berhenti berlangganan. Udah gak tak perpanjang lagi kak,kak henti langgan gak tidak panjang kak,4,1
KP2060,Saya sudah berhenti berlangganan sejak bulan september,henti langgan september,4,1
STKP0037,baik kak  kira2 jam berapa ya ??,kak jam iya,1,1
KT2134,Sinyal nya ngelag dan harganya tidak sesuai sama ekspetasi kami,sinyal nya ngelag harga tidak ekspetasi,2,2
KT2134,"Jadi begini kak sinyalnya tidak stabil, memang ini user/pengguna/perangkat lebih dari 10 kira kira 20 keatas. Oleh karena sering tidak stabil makanya berhenti berlangganan",kak sinyal tidak stabil user guna perangkat atas tidak stabil henti langgan,4,1
KM2210,"Cb di cek lg, sy sdh berhenti berlangganan",coba cek sdh henti langgan,4,1
KT2134,Maaf kami putus langganan aja,maaf putus langgan,4,1
KD1689,Solusi gmn kak mau bayar gabisaa,solusi gmn kak bayar gabisaa,1,1
KD0908,Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan:KD0908 Nama: gevan Alasan Berhenti Berlangganan: Jarang kepake Jadwal Pengambilan Modem: 9 oktober 2025 Jam: 12:00 Sharelocation:  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏,aju henti langgan proses lengkap data id langgan kd nama gevan alas henti langgan jarang kepake jadwal ambil modem oktober jam sharelocation isi form proses mohon henti langgan terima kasih percaya layan,4,4
KD0899,Lo sudah saya bayar,bayar,1,1
KP2050,segera kami bayar,bayar,1,1
"KD0208, KD0440",Siap tagihan juga tetap ya,tagih iya,1,1
GJ0190,kak. kalau mau bayar beberapa bulan sekaligus bisa?,kak bayar,1,1
KP0757,min udah bayar,min bayar,1,1
KD0035,mau bayar bulanan,bayar bulan,1,1
KM1376,Sy lupa cara bayar wifi gmn y??,lupa bayar wifi gmn,1,1
KM1376,Biasanya sy bayar 123.000,bayar,1,1
KM1376,"Mau bayar wifi, gak bisa caranya yg pakek aplikaai",bayar wifi gak pakek aplikaai,1,1
KM1913,lihaat riwayat pembayaran saya selama jadi pelanggan naratel ada pernah terlambat bayar cobaaa liaaattt....,lihaat riwayat bayar langgan naratel lambat bayar cobaaa liaaattt,2,2
KM1376,"Mau bayar wifi, gak bisa caranya yg pakek aplikasi",bayar wifi gak pakek aplikasi,1,1
KT0056,intinya sya mw bayar bulanannya mba,inti sya now watching bayar bulan mbak,1,1
KM2098,Tadi bayar di kantor dan disuruh ngirim kode qr,bayar kantor suruh ngirim kode qr,1,1
KT2072,Kemarinkan sya pasang 15 mbps nah skrng sya mau isi yg 20 mbps bisa?,kemarin sya pasang mbps skrng sya isi mbps,1,1
KP1228,Minta link briva mau bayar soalnya,link briva bayar,1,1
KT2072,Berapa kira2 yg 20 mnps,mnps,1,1
JT1186,berarti bagaimana kak? harus menunggu atau coba cabut adaptor?,kak tunggu coba pergi adaptor,4,1
KT1613,Khan td sy mau ganti paket reguler yg 5 mbps..,ganti paket reguler mbps,1,1
KT0056,cara bayar nya gmn mba,bayar nya gmn mbak,1,1
KM3572,Sya pakai seabank kak.untuk tf kok gak bisa.gmn caranya,sya pakai seabank kak tf gak gmn,1,1
KJ1663,Bisa minta no reknig knig mau bayar wifi ka,reknig knig bayar wifi kakak,1,1
KT2074,Soalnya kmi tdk ada saldo mau tf,kmi tidak saldo tf,1,1
KT2074,Sbr kak  Kmi usaha dulu utk bisa tf sbntr....,sbr kak kmi usaha tf sbntr,1,1
KT0056,"knp untuk bayar aja susah yaa mba, bulan2 sebelumnya jga sll ganti kode Virtual Account",bayar susah yaa mbak ganti kode virtual account,1,1
JT0291,Bayar lewat sini kok gk bisa,bayar gk,1,1
KT2072,Kode itu ada di buku yg teknisi kasih awl pasang wifi ya pak?,kode buku teknisi kasih awl pasang wifi iya,1,1
KT1246,"Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: KT1246 Nama: Aprilius Yogi Pratama Alasan Berhenti Berlangganan: sudah selesai kuliah Jadwal Pengambilan Modem: Rabu, 8 oktober 2025 Jam: 14 : 00 Sharelocation: jl. Tirtho rahayu gg 9 rumah no. 2  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏",aju henti langgan proses lengkap data id langgan nama aprilius yogi pratama alas henti langgan selesai kuliah jadwal ambil modem rabu oktober jam sharelocation jl tirtho rahayu gg rumah isi form proses mohon henti langgan terima kasih percaya layan,4,4
KM2207,Wifi mati mbak,wifi mati mbak,2,2
KJ0957,Siang kak klau wifi tagihan sudah kadaluarsa apa bisa aktif kembali,siang kak klau wifi tagih kadaluarsa aktif,1,1
KI2853,Kalo bayar sekarang apa bisa langsung aktif kembali?,bayar aktif,1,1
KI1104,Sudah bayar wifi bulan oktober,bayar wifi oktober,1,1
KM3899,Tidak usah kerja sama dengan By U kalau begini caranya. Lebih baik kapten naratel putus hubungan saja dg By.U,tidak kerja by kapten naratel putus dg by,2,1
KD1571,"Awal pemasaran nya 30 hari, mulai turun 20 hari, sekarang 14 hari besok"" berapa hari lagi turun nya..?",pasar nya turun besok turun nya,1,1
KD1571,"Saya tertarik dengan kapten naratel dan memilih combo. Tapi kalau gini, saya bisa putus sambungan dan ber alih ke jaringan lain...di karenakan kondisi naratel kurang profesional dan tidak komitmen.",tarik kapten naratel pilih combo gin putus sambung ber alih jaring karena naratel profesional tidak komitmen,2,2
KP1719,masa selalu trouble punya saya,trouble,2,2
KI1104,Cuman konfirmasi sudah bayar,cuman konfirmasi bayar,1,1
GJ0103,Besok tak tf yo,besok tidak tf iya,1,1
"KD0208, KD0440",Ini saya mau bayar,bayar,1,1
KP0799,Gimana caranya ganti paket langganan?,ganti paket langgan,1,1
KD1328,boleh minta list harga reguler nya lagi tanpa by u,list harga reguler nya by,1,1
KI3012,Untuk tagihan selanjutnya ke nomor ini ya kak,tagih nomor iya kak,1,1
KP0799,Saya ngga tau paket nya apa aja tolong di infokan,tidak paket nya info,1,1
KP1719,knpa ce wifi saya kok sering trouble,cewek wifi trouble,2,2
KP1719,masak seminggu sekali selalu trouble,masak minggu trouble,2,2
"KI1033, KI1166",Sy blm menerima notifikasi bulan ini.. Tahu2 sudah mati... Dan ini pakai VA bca tetapi sudah tdk bisa lg,belum terima notifikasi mati pakai va bca tidak,2,1
KD1328,Kak apa bisa diganti paket yg  5 mbps aja,kak ganti paket mbps,1,1
KT1613,Kalo beralih ke paket reguler nanti sy sisa bayar brp tiap bulan,alih paket reguler sisa bayar,1,1
KT1613,Paket yg bayar sama kartu 195rb,paket bayar kartu rb,1,1
KN0030,selamat sore  kak mau bayar an friska kok va nya gak bisa yah ?,selamat sore kak bayar an friska va nya gak yah,1,1
KT0798,Bukti pembayaranya kk 🙏,bukti pembayaranya kakak,1,1
KI1013,"Selamat pagi, saya ingin bertanya. Kenapa saya tdk bs membayar tagihan ya?",selamat pagi tidak bayar tagih iya,1,1
KI1013,Baik saya coba cek lagi,coba cek,1,1
"JT0405, JT0577","Oh iya, saat ini berapa punya saya",iya,1,1
KD0035,iya brarti bisa? tapi per LAN nya harus bayar,iya brarti lan nya bayar,1,1
KP1563,jika saya memilih perubahan paket menjadi SUPERSTAR bisa tidak?,pilih ubah paket superstar tidak,1,1
KP1719,gini nyala nya kak,gin nyala nya kak,1,1
JT1186,"selamat sore kak, apakah ada gangguan ya, soalnya wifi tidak bisa",selamat sore kak ganggu iya wifi tidak,2,2
KT2045,Untuk pembayaran tagihan itu bagaimana ya🙏,bayar tagih iya,1,1
KP1719,gk kak kuning tapi cuma nyala satu,gk kak kuning nyala,1,1
KD0035,"dengan harga 175 hanya dapat 10mbps, kalau paket satunya gabisa LAN.",harga mbps paket satu gabisa lan,1,1
"JT0405, JT0577",Berarti ini saya harus bayar tagihan bulan depan dulu yg 11mbps,bayar tagih mbps,1,1
