message,kode_user,cleaning_text,case_folding,tokenizing,normalization,remove_stopwords,stemming,clean_text,severity
"maunya lgsg masuk aja, gak usah pake Gisi ini, lupa aq, kemarin itu di isikan masnya, jadi aq gak tau, ini kok log out lagi, jadi gak bisa login aq",KP0693,maunya lgsg masuk aja gak usah pake Gisi ini lupa aq kemarin itu di isikan masnya jadi aq gak tau ini kok log out lagi jadi gak bisa login aq,maunya lgsg masuk aja gak usah pake gisi ini lupa aq kemarin itu di isikan masnya jadi aq gak tau ini kok log out lagi jadi gak bisa login aq,"['maunya', 'lgsg', 'masuk', 'aja', 'gak', 'usah', 'pake', 'gisi', 'ini', 'lupa', 'aq', 'kemarin', 'itu', 'di', 'isikan', 'masnya', 'jadi', 'aq', 'gak', 'tau', 'ini', 'kok', 'log', 'out', 'lagi', 'jadi', 'gak', 'bisa', 'login', 'aq']","['maunya', 'langsung', 'masuk', 'saja', 'gak', 'perlu', 'pakai', 'gisi', 'ini', 'lupa', 'saya', 'kemarin', 'itu', 'di', 'isikan', 'masnya', 'jadi', 'saya', 'gak', 'tahu', 'ini', 'kok', 'log', 'out', 'lagi', 'jadi', 'gak', 'bisa', 'login', 'saya']","['maunya', 'masuk', 'gak', 'pakai', 'gisi', 'lupa', 'isikan', 'masnya', 'gak', 'log', 'out', 'gak', 'login']","['mau', 'masuk', 'gak', 'pakai', 'gisi', 'lupa', 'isi', 'mas', 'gak', 'log', 'out', 'gak', 'login']",mau masuk gak pakai gisi lupa isi mas gak log out gak login,1
"Selamat pagi, saya dari pelanggan wifi atas nama Deni subandini mau memberi tahu kalau kabel wifinya putus kak, apakah bisa diperbaiki kembali hari ini ya kak?",KJ2473,Selamat pagi saya dari pelanggan wifi atas nama Deni subandini mau memberi tahu kalau kabel wifinya putus kak apakah bisa diperbaiki kembali hari ini ya kak ,selamat pagi saya dari pelanggan wifi atas nama deni subandini mau memberi tahu kalau kabel wifinya putus kak apakah bisa diperbaiki kembali hari ini ya kak ,"['selamat', 'pagi', 'saya', 'dari', 'pelanggan', 'wifi', 'atas', 'nama', 'deni', 'subandini', 'mau', 'memberi', 'tahu', 'kalau', 'kabel', 'wifinya', 'putus', 'kak', 'apakah', 'bisa', 'diperbaiki', 'kembali', 'hari', 'ini', 'ya', 'kak']","['selamat', 'pagi', 'saya', 'dari', 'pelanggan', 'wifi', 'atas', 'nama', 'deni', 'subandini', 'mau', 'memberi', 'tahu', 'kalau', 'kabel', 'wifinya', 'putus', 'kak', 'apakah', 'bisa', 'diperbaiki', 'kembali', 'hari', 'ini', 'iya', 'kak']","['selamat', 'pagi', 'pelanggan', 'wifi', 'nama', 'deni', 'subandini', 'kabel', 'wifinya', 'putus', 'kak', 'diperbaiki', 'iya', 'kak']","['selamat', 'pagi', 'langgan', 'wifi', 'nama', 'den', 'subandini', 'kabel', 'wifinya', 'putus', 'kak', 'baik', 'iya', 'kak']",selamat pagi langgan wifi nama den subandini kabel wifinya putus kak baik iya kak,2
"Ketika klik paket yg aku pilih, muncul suruh isi data itu",KM3713,Ketika klik paket yg aku pilih muncul suruh isi data itu,ketika klik paket yg aku pilih muncul suruh isi data itu,"['ketika', 'klik', 'paket', 'yg', 'aku', 'pilih', 'muncul', 'suruh', 'isi', 'data', 'itu']","['ketika', 'klik', 'paket', 'yang', 'aku', 'pilih', 'muncul', 'suruh', 'isi', 'data', 'itu']","['klik', 'paket', 'pilih', 'muncul', 'suruh', 'isi', 'data']","['klik', 'paket', 'pilih', 'muncul', 'suruh', 'isi', 'data']",klik paket pilih muncul suruh isi data,1
"Aku pelanggan lama, tapi baru kali ini mau bayar lewat aplikasi",KM3713,Aku pelanggan lama tapi baru kali ini mau bayar lewat aplikasi,aku pelanggan lama tapi baru kali ini mau bayar lewat aplikasi,"['aku', 'pelanggan', 'lama', 'tapi', 'baru', 'kali', 'ini', 'mau', 'bayar', 'lewat', 'aplikasi']","['aku', 'pelanggan', 'lama', 'tapi', 'baru', 'kali', 'ini', 'mau', 'bayar', 'lewat', 'aplikasi']","['pelanggan', 'bayar', 'aplikasi']","['langgan', 'bayar', 'aplikasi']",langgan bayar aplikasi,1
Biasanya lngsung bayar ke kantornya,KM3713,Biasanya lngsung bayar ke kantornya,biasanya lngsung bayar ke kantornya,"['biasanya', 'lngsung', 'bayar', 'ke', 'kantornya']","['biasanya', 'lngsung', 'bayar', 'ke', 'kantornya']","['lngsung', 'bayar', 'kantornya']","['lngsung', 'bayar', 'kantor']",lngsung bayar kantor,1
"Kak, apakah stiap bayar lewat aplikasi harus merestart modem?",KM3713,Kak apakah stiap bayar lewat aplikasi harus merestart modem ,kak apakah stiap bayar lewat aplikasi harus merestart modem ,"['kak', 'apakah', 'stiap', 'bayar', 'lewat', 'aplikasi', 'harus', 'merestart', 'modem']","['kak', 'apakah', 'setiap', 'bayar', 'lewat', 'aplikasi', 'harus', 'merestart', 'modem']","['kak', 'bayar', 'aplikasi', 'merestart', 'modem']","['kak', 'bayar', 'aplikasi', 'merestart', 'modem']",kak bayar aplikasi merestart modem,1
"Puji Tuhan masuk, makasih ya.. nanti tak coba buat melakukan pmbayaran",KP0693,Puji Tuhan masuk makasih ya nanti tak coba buat melakukan pmbayaran,puji tuhan masuk makasih ya nanti tak coba buat melakukan pmbayaran,"['puji', 'tuhan', 'masuk', 'makasih', 'ya', 'nanti', 'tak', 'coba', 'buat', 'melakukan', 'pmbayaran']","['puji', 'tuhan', 'masuk', 'terima kasih', 'iya', 'nanti', 'tidak', 'coba', 'buat', 'melakukan', 'pmbayaran']","['puji', 'tuhan', 'masuk', 'terima kasih', 'iya', 'tidak', 'coba', 'pmbayaran']","['puji', 'tuhan', 'masuk', 'terima kasih', 'iya', 'tidak', 'coba', 'pmbayaran']",puji tuhan masuk terima kasih iya tidak coba pmbayaran,1
"Siang kak, ada trouble lagi ya?",KD0928,Siang kak ada trouble lagi ya ,siang kak ada trouble lagi ya ,"['siang', 'kak', 'ada', 'trouble', 'lagi', 'ya']","['siang', 'kak', 'ada', 'trouble', 'lagi', 'iya']","['siang', 'kak', 'trouble', 'iya']","['siang', 'kak', 'trouble', 'iya']",siang kak trouble iya,2
"Oh maaf sudah kak sudah saya cabut lalu saya colokkan lagi sudah bisa, punya ibuk saya",KD0928,Oh maaf sudah kak sudah saya cabut lalu saya colokkan lagi sudah bisa punya ibuk saya,oh maaf sudah kak sudah saya cabut lalu saya colokkan lagi sudah bisa punya ibuk saya,"['oh', 'maaf', 'sudah', 'kak', 'sudah', 'saya', 'cabut', 'lalu', 'saya', 'colokkan', 'lagi', 'sudah', 'bisa', 'punya', 'ibuk', 'saya']","['oh', 'maaf', 'sudah', 'kak', 'sudah', 'saya', 'pergi', 'lalu', 'saya', 'colokkan', 'lagi', 'sudah', 'bisa', 'punya', 'ibuk', 'saya']","['maaf', 'kak', 'pergi', 'colokkan', 'ibuk']","['maaf', 'kak', 'pergi', 'colok', 'ibuk']",maaf kak pergi colok ibuk,4
SK rng waktunya bayar wiffi saya TF kemana,KD1567,SK rng waktunya bayar wiffi saya TF kemana,sk rng waktunya bayar wiffi saya tf kemana,"['sk', 'rng', 'waktunya', 'bayar', 'wiffi', 'saya', 'tf', 'kemana']","['sk', 'rng', 'waktunya', 'bayar', 'wiffi', 'saya', 'tf', 'kemana']","['sk', 'rng', 'bayar', 'wiffi', 'tf']","['sk', 'rng', 'bayar', 'wiffi', 'tf']",sk rng bayar wiffi tf,1
Hallo kak  Wifi gangguan dr td siang,"KM0474, KM2138, KP1266",Hallo kak Wifi gangguan dr td siang,hallo kak wifi gangguan dr td siang,"['hallo', 'kak', 'wifi', 'gangguan', 'dr', 'td', 'siang']","['hallo', 'kak', 'wifi', 'gangguan', 'dr', 'tadi', 'siang']","['hallo', 'kak', 'wifi', 'gangguan', 'dr', 'siang']","['hallo', 'kak', 'wifi', 'ganggu', 'dr', 'siang']",hallo kak wifi ganggu dr siang,2
Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan:KD1478 Nama:sri hastuti w Alasan Berhenti Berlangganan: karena pindah rumah Jadwal Pengambilan Modem: 30 Jam:9 - 10 Sharelocation:  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏,KI3401,Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut ID Pelanggan KD Nama sri hastuti w Alasan Berhenti Berlangganan karena pindah rumah Jadwal Pengambilan Modem Jam Sharelocation Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda Terima kasih telah mempercayakan kami untuk melayani Anda ,pengajuan berhenti berlangganan anda dapat diproses apabila melengkapi data berikut id pelanggan kd nama sri hastuti w alasan berhenti berlangganan karena pindah rumah jadwal pengambilan modem jam sharelocation segera isi form agar kami bisa memproses permohonan berhenti berlangganan anda terima kasih telah mempercayakan kami untuk melayani anda ,"['pengajuan', 'berhenti', 'berlangganan', 'anda', 'dapat', 'diproses', 'apabila', 'melengkapi', 'data', 'berikut', 'id', 'pelanggan', 'kd', 'nama', 'sri', 'hastuti', 'w', 'alasan', 'berhenti', 'berlangganan', 'karena', 'pindah', 'rumah', 'jadwal', 'pengambilan', 'modem', 'jam', 'sharelocation', 'segera', 'isi', 'form', 'agar', 'kami', 'bisa', 'memproses', 'permohonan', 'berhenti', 'berlangganan', 'anda', 'terima', 'kasih', 'telah', 'mempercayakan', 'kami', 'untuk', 'melayani', 'anda']","['pengajuan', 'berhenti', 'berlangganan', 'anda', 'dapat', 'diproses', 'apabila', 'melengkapi', 'data', 'berikut', 'id', 'pelanggan', 'kd', 'nama', 'sri', 'hastuti', 'w', 'alasan', 'berhenti', 'berlangganan', 'karena', 'pindah', 'rumah', 'jadwal', 'pengambilan', 'modem', 'jam', 'sharelocation', 'segera', 'isi', 'form', 'agar', 'kami', 'bisa', 'memproses', 'permohonan', 'berhenti', 'berlangganan', 'anda', 'terima', 'kasih', 'telah', 'mempercayakan', 'kami', 'untuk', 'melayani', 'anda']","['pengajuan', 'berhenti', 'berlangganan', 'diproses', 'melengkapi', 'data', 'id', 'pelanggan', 'kd', 'nama', 'sri', 'hastuti', 'w', 'alasan', 'berhenti', 'berlangganan', 'pindah', 'rumah', 'jadwal', 'pengambilan', 'modem', 'jam', 'sharelocation', 'isi', 'form', 'memproses', 'permohonan', 'berhenti', 'berlangganan', 'terima', 'kasih', 'mempercayakan', 'melayani']","['aju', 'henti', 'langgan', 'proses', 'lengkap', 'data', 'id', 'langgan', 'kd', 'nama', 'sri', 'hastuti', 'w', 'alas', 'henti', 'langgan', 'pindah', 'rumah', 'jadwal', 'ambil', 'modem', 'jam', 'sharelocation', 'isi', 'form', 'proses', 'mohon', 'henti', 'langgan', 'terima', 'kasih', 'percaya', 'layan']",aju henti langgan proses lengkap data id langgan kd nama sri hastuti w alas henti langgan pindah rumah jadwal ambil modem jam sharelocation isi form proses mohon henti langgan terima kasih percaya layan,4
Kak saya mau bayar wifi lewat Indomaret...boleh minta kode nya,KT1839,Kak saya mau bayar wifi lewat Indomaret boleh minta kode nya,kak saya mau bayar wifi lewat indomaret boleh minta kode nya,"['kak', 'saya', 'mau', 'bayar', 'wifi', 'lewat', 'indomaret', 'boleh', 'minta', 'kode', 'nya']","['kak', 'saya', 'mau', 'bayar', 'wifi', 'lewat', 'indomaret', 'boleh', 'minta', 'kode', 'nya']","['kak', 'bayar', 'wifi', 'indomaret', 'kode', 'nya']","['kak', 'bayar', 'wifi', 'indomaret', 'kode', 'nya']",kak bayar wifi indomaret kode nya,1
Saya mau bayar nomor berapa,KD1336,Saya mau bayar nomor berapa,saya mau bayar nomor berapa,"['saya', 'mau', 'bayar', 'nomor', 'berapa']","['saya', 'mau', 'bayar', 'nomor', 'berapa']","['bayar', 'nomor']","['bayar', 'nomor']",bayar nomor,1
Bayar via mobile banking BCA rek. a/n Signal berkah makmur,KM2180,Bayar via mobile banking BCA rek a n Signal berkah makmur,bayar via mobile banking bca rek a n signal berkah makmur,"['bayar', 'via', 'mobile', 'banking', 'bca', 'rek', 'a', 'n', 'signal', 'berkah', 'makmur']","['bayar', 'via', 'mobile', 'banking', 'bca', 'rek', 'a', 'dan', 'signal', 'berkah', 'makmur']","['bayar', 'via', 'mobile', 'banking', 'bca', 'rek', 'a', 'signal', 'berkah', 'makmur']","['bayar', 'via', 'mobile', 'banking', 'bca', 'rek', 'a', 'signal', 'berkah', 'makmur']",bayar via mobile banking bca rek a signal berkah makmur,1
Sy mau bayar wifi kok gak bisa ya,KI1738,Sy mau bayar wifi kok gak bisa ya,sy mau bayar wifi kok gak bisa ya,"['sy', 'mau', 'bayar', 'wifi', 'kok', 'gak', 'bisa', 'ya']","['saya', 'mau', 'bayar', 'wifi', 'kok', 'gak', 'bisa', 'iya']","['bayar', 'wifi', 'gak', 'iya']","['bayar', 'wifi', 'gak', 'iya']",bayar wifi gak iya,1
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: baja Bejo barbershop depan pabrik karton kec.bugul kidul  Kelurahan: pekuncen  Share location: Tahu Kapten Naratel darimana:   sudah berlangganan lama    Terima kasih 😊","KM0206, KM2518",Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum Kak Alamat Pemasangan baja Bejo barbershop depan pabrik karton kec bugul kidul Kelurahan pekuncen Share location Tahu Kapten Naratel darimana sudah berlangganan lama Terima kasih ,bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum kak alamat pemasangan baja bejo barbershop depan pabrik karton kec bugul kidul kelurahan pekuncen share location tahu kapten naratel darimana sudah berlangganan lama terima kasih ,"['bisa', 'dibantu', 'untuk', 'mengisi', 'datanya', 'terlebih', 'dahulu', 'untuk', 'memastikan', 'area', 'tercover', 'atau', 'belum', 'kak', 'alamat', 'pemasangan', 'baja', 'bejo', 'barbershop', 'depan', 'pabrik', 'karton', 'kec', 'bugul', 'kidul', 'kelurahan', 'pekuncen', 'share', 'location', 'tahu', 'kapten', 'naratel', 'darimana', 'sudah', 'berlangganan', 'lama', 'terima', 'kasih']","['bisa', 'dibantu', 'untuk', 'mengisi', 'datanya', 'terlebih', 'dahulu', 'untuk', 'memastikan', 'area', 'tercover', 'atau', 'belum', 'kak', 'alamat', 'pemasangan', 'baja', 'bejo', 'barbershop', 'depan', 'pabrik', 'karton', 'kecamatan', 'bugul', 'kidul', 'kelurahan', 'pekuncen', 'share', 'location', 'tahu', 'kapten', 'naratel', 'darimana', 'sudah', 'berlangganan', 'lama', 'terima', 'kasih']","['dibantu', 'mengisi', 'datanya', 'area', 'tercover', 'belum', 'kak', 'alamat', 'pemasangan', 'baja', 'bejo', 'barbershop', 'pabrik', 'karton', 'kecamatan', 'bugul', 'kidul', 'kelurahan', 'pekuncen', 'share', 'location', 'kapten', 'naratel', 'darimana', 'berlangganan', 'terima', 'kasih']","['bantu', 'isi', 'data', 'area', 'tercover', 'belum', 'kak', 'alamat', 'pasang', 'baja', 'bejo', 'barbershop', 'pabrik', 'karton', 'camat', 'bugul', 'kidul', 'lurah', 'kuncen', 'share', 'location', 'kapten', 'naratel', 'darimana', 'langgan', 'terima', 'kasih']",bantu isi data area tercover belum kak alamat pasang baja bejo barbershop pabrik karton camat bugul kidul lurah kuncen share location kapten naratel darimana langgan terima kasih,2
Bisa g di pasang dulu terus baru beli paketnya itu kk biar sekalian sma uang pemasanganya,KT2112,Bisa g di pasang dulu terus baru beli paketnya itu kk biar sekalian sma uang pemasanganya,bisa g di pasang dulu terus baru beli paketnya itu kk biar sekalian sma uang pemasanganya,"['bisa', 'g', 'di', 'pasang', 'dulu', 'terus', 'baru', 'beli', 'paketnya', 'itu', 'kk', 'biar', 'sekalian', 'sma', 'uang', 'pemasanganya']","['bisa', 'g', 'di', 'pasang', 'dulu', 'terus', 'baru', 'beli', 'paketnya', 'itu', 'kakak', 'biar', 'sekalian', 'sama', 'uang', 'pemasanganya']","['g', 'pasang', 'beli', 'paketnya', 'kakak', 'biar', 'uang', 'pemasanganya']","['g', 'pasang', 'beli', 'paket', 'kakak', 'biar', 'uang', 'pemasanganya']",g pasang beli paket kakak biar uang pemasanganya,1
Udah konfirmasi dr jm3 sore kmren Lo ini kak.. td blange jm 10..,KM3700,Udah konfirmasi dr jm sore kmren Lo ini kak td blange jm ,udah konfirmasi dr jm sore kmren lo ini kak td blange jm ,"['udah', 'konfirmasi', 'dr', 'jm', 'sore', 'kmren', 'lo', 'ini', 'kak', 'td', 'blange', 'jm']","['sudah', 'konfirmasi', 'dr', 'jm', 'sore', 'kmren', 'kamu', 'ini', 'kak', 'tadi', 'blange', 'jm']","['konfirmasi', 'dr', 'jm', 'sore', 'kmren', 'kak', 'blange', 'jm']","['konfirmasi', 'dr', 'jm', 'sore', 'kmren', 'kak', 'blange', 'jm']",konfirmasi dr jm sore kmren kak blange jm,1
Bisa kasih nomer rekening buat tagihan wifi,KJ0805,Bisa kasih nomer rekening buat tagihan wifi,bisa kasih nomer rekening buat tagihan wifi,"['bisa', 'kasih', 'nomer', 'rekening', 'buat', 'tagihan', 'wifi']","['bisa', 'kasih', 'nomer', 'rekening', 'buat', 'tagihan', 'wifi']","['kasih', 'nomer', 'rekening', 'tagihan', 'wifi']","['kasih', 'nomer', 'rekening', 'tagih', 'wifi']",kasih nomer rekening tagih wifi,1
"Dear Pelanggan Kapten *Arif Prasetyo ,*  Terimakasih sudah melakukan perpanjangan masa aktif wifi di Mitra Bayar *Sparkpay*  ID Pelanggan		:	JT0682 Nama Pelanggan		:	Arif Prasetyo Paket Layanan		:	5 Masa aktif anda berlaku sampai :	01-August-2025""  Terimakasih atas kepercayaan Anda telah memilih dan menggunakan layanan Kami. Ayooooo !! ajak tetangga, teman & saudara untuk berlangganan kaptennaratel.com “internet cepat untuk keluarga hebat” ⭐⭐⭐⭐⭐  Apabila ada keluhan dan kendala layanan wifi kami, silahkan menghubungi customer service:  💬 Telegram: @kapten_naratel_bot 🌐 Live Chat Web Kapten: kaptennaratel.com  *Terimakasih*",JT0682,Dear Pelanggan Kapten Arif Prasetyo Terimakasih sudah melakukan perpanjangan masa aktif wifi di Mitra Bayar Sparkpay ID Pelanggan JT Nama Pelanggan Arif Prasetyo Paket Layanan Masa aktif anda berlaku sampai August Terimakasih atas kepercayaan Anda telah memilih dan menggunakan layanan Kami Ayooooo ajak tetangga teman saudara untuk berlangganan kaptennaratel com internet cepat untuk keluarga hebat Apabila ada keluhan dan kendala layanan wifi kami silahkan menghubungi customer service Telegram naratel bot Live Chat Web Kapten kaptennaratel com Terimakasih ,dear pelanggan kapten arif prasetyo terimakasih sudah melakukan perpanjangan masa aktif wifi di mitra bayar sparkpay id pelanggan jt nama pelanggan arif prasetyo paket layanan masa aktif anda berlaku sampai august terimakasih atas kepercayaan anda telah memilih dan menggunakan layanan kami ayooooo ajak tetangga teman saudara untuk berlangganan kaptennaratel com internet cepat untuk keluarga hebat apabila ada keluhan dan kendala layanan wifi kami silahkan menghubungi customer service telegram naratel bot live chat web kapten kaptennaratel com terimakasih ,"['dear', 'pelanggan', 'kapten', 'arif', 'prasetyo', 'terimakasih', 'sudah', 'melakukan', 'perpanjangan', 'masa', 'aktif', 'wifi', 'di', 'mitra', 'bayar', 'sparkpay', 'id', 'pelanggan', 'jt', 'nama', 'pelanggan', 'arif', 'prasetyo', 'paket', 'layanan', 'masa', 'aktif', 'anda', 'berlaku', 'sampai', 'august', 'terimakasih', 'atas', 'kepercayaan', 'anda', 'telah', 'memilih', 'dan', 'menggunakan', 'layanan', 'kami', 'ayooooo', 'ajak', 'tetangga', 'teman', 'saudara', 'untuk', 'berlangganan', 'kaptennaratel', 'com', 'internet', 'cepat', 'untuk', 'keluarga', 'hebat', 'apabila', 'ada', 'keluhan', 'dan', 'kendala', 'layanan', 'wifi', 'kami', 'silahkan', 'menghubungi', 'customer', 'service', 'telegram', 'naratel', 'bot', 'live', 'chat', 'web', 'kapten', 'kaptennaratel', 'com', 'terimakasih']","['dear', 'pelanggan', 'kapten', 'arif', 'prasetyo', 'terimakasih', 'sudah', 'melakukan', 'perpanjangan', 'masa', 'aktif', 'wifi', 'di', 'mitra', 'bayar', 'sparkpay', 'id', 'pelanggan', 'jt', 'nama', 'pelanggan', 'arif', 'prasetyo', 'paket', 'layanan', 'masa', 'aktif', 'anda', 'berlaku', 'sampai', 'august', 'terimakasih', 'atas', 'kepercayaan', 'anda', 'telah', 'memilih', 'dan', 'menggunakan', 'layanan', 'kami', 'ayooooo', 'ajak', 'tetangga', 'teman', 'saudara', 'untuk', 'berlangganan', 'kaptennaratel', 'com', 'internet', 'cepat', 'untuk', 'keluarga', 'hebat', 'apabila', 'ada', 'keluhan', 'dan', 'kendala', 'layanan', 'wifi', 'kami', 'silahkan', 'menghubungi', 'customer', 'service', 'telegram', 'naratel', 'bot', 'live', 'chat', 'web', 'kapten', 'kaptennaratel', 'com', 'terimakasih']","['dear', 'pelanggan', 'kapten', 'arif', 'prasetyo', 'terimakasih', 'perpanjangan', 'aktif', 'wifi', 'mitra', 'bayar', 'sparkpay', 'id', 'pelanggan', 'jt', 'nama', 'pelanggan', 'arif', 'prasetyo', 'paket', 'layanan', 'aktif', 'berlaku', 'august', 'terimakasih', 'kepercayaan', 'memilih', 'layanan', 'ayooooo', 'ajak', 'tetangga', 'teman', 'saudara', 'berlangganan', 'kaptennaratel', 'com', 'internet', 'cepat', 'keluarga', 'hebat', 'keluhan', 'kendala', 'layanan', 'wifi', 'silahkan', 'menghubungi', 'customer', 'service', 'telegram', 'naratel', 'bot', 'live', 'chat', 'web', 'kapten', 'kaptennaratel', 'com', 'terimakasih']","['dear', 'langgan', 'kapten', 'arif', 'prasetyo', 'terimakasih', 'panjang', 'aktif', 'wifi', 'mitra', 'bayar', 'sparkpay', 'id', 'langgan', 'jt', 'nama', 'langgan', 'arif', 'prasetyo', 'paket', 'layan', 'aktif', 'laku', 'august', 'terimakasih', 'percaya', 'pilih', 'layan', 'ayooooo', 'ajak', 'tetangga', 'teman', 'saudara', 'langgan', 'kaptennaratel', 'com', 'internet', 'cepat', 'keluarga', 'hebat', 'keluh', 'kendala', 'layan', 'wifi', 'silah', 'hubung', 'customer', 'service', 'telegram', 'naratel', 'bot', 'live', 'chat', 'web', 'kapten', 'kaptennaratel', 'com', 'terimakasih']",dear langgan kapten arif prasetyo terimakasih panjang aktif wifi mitra bayar sparkpay id langgan jt nama langgan arif prasetyo paket layan aktif laku august terimakasih percaya pilih layan ayooooo ajak tetangga teman saudara langgan kaptennaratel com internet cepat keluarga hebat keluh kendala layan wifi silah hubung customer service telegram naratel bot live chat web kapten kaptennaratel com terimakasih,1
"Malam ka, Internet Kp 1988 apakah trouble kak?",KP1988,Malam ka Internet Kp apakah trouble kak ,malam ka internet kp apakah trouble kak ,"['malam', 'ka', 'internet', 'kp', 'apakah', 'trouble', 'kak']","['malam', 'kakak', 'internet', 'kp', 'apakah', 'trouble', 'kak']","['malam', 'kakak', 'internet', 'kp', 'trouble', 'kak']","['malam', 'kakak', 'internet', 'kp', 'trouble', 'kak']",malam kakak internet kp trouble kak,2
Link buat bayar nya kak pake mbanking bca,JT0682,Link buat bayar nya kak pake mbanking bca,link buat bayar nya kak pake mbanking bca,"['link', 'buat', 'bayar', 'nya', 'kak', 'pake', 'mbanking', 'bca']","['link', 'buat', 'bayar', 'nya', 'kak', 'pakai', 'mbanking', 'bca']","['link', 'bayar', 'nya', 'kak', 'pakai', 'mbanking', 'bca']","['link', 'bayar', 'nya', 'kak', 'pakai', 'mbanking', 'bca']",link bayar nya kak pakai mbanking bca,1
Mohon maaf kak Saat ini saya terkendala dengan jaringan internetnya Lemot banget,KM3139,Mohon maaf kak Saat ini saya terkendala dengan jaringan internetnya Lemot banget,mohon maaf kak saat ini saya terkendala dengan jaringan internetnya lemot banget,"['mohon', 'maaf', 'kak', 'saat', 'ini', 'saya', 'terkendala', 'dengan', 'jaringan', 'internetnya', 'lemot', 'banget']","['mohon', 'maaf', 'kak', 'saat', 'ini', 'saya', 'terkendala', 'dengan', 'jaringan', 'internetnya', 'lambat', 'banget']","['mohon', 'maaf', 'kak', 'terkendala', 'jaringan', 'internetnya', 'lambat', 'banget']","['mohon', 'maaf', 'kak', 'kendala', 'jaring', 'internetnya', 'lambat', 'banget']",mohon maaf kak kendala jaring internetnya lambat banget,2
Kak mau tanya virtual account untuk wifi kj1060 berapa ya?,"KJ1060, KJ2255",Kak mau tanya virtual account untuk wifi kj berapa ya ,kak mau tanya virtual account untuk wifi kj berapa ya ,"['kak', 'mau', 'tanya', 'virtual', 'account', 'untuk', 'wifi', 'kj', 'berapa', 'ya']","['kak', 'mau', 'tanya', 'virtual', 'account', 'untuk', 'wifi', 'kj', 'berapa', 'iya']","['kak', 'virtual', 'account', 'wifi', 'kj', 'iya']","['kak', 'virtual', 'account', 'wifi', 'kj', 'iya']",kak virtual account wifi kj iya,1
"ID pelanggan : KP1673 Mohon bantuan sering trouble, wifi tersambung tanpa internet",KP1673,ID pelanggan KP Mohon bantuan sering trouble wifi tersambung tanpa internet,id pelanggan kp mohon bantuan sering trouble wifi tersambung tanpa internet,"['id', 'pelanggan', 'kp', 'mohon', 'bantuan', 'sering', 'trouble', 'wifi', 'tersambung', 'tanpa', 'internet']","['id', 'pelanggan', 'kp', 'mohon', 'bantuan', 'sering', 'trouble', 'wifi', 'tersambung', 'tanpa', 'internet']","['id', 'pelanggan', 'kp', 'mohon', 'bantuan', 'trouble', 'wifi', 'tersambung', 'internet']","['id', 'langgan', 'kp', 'mohon', 'bantu', 'trouble', 'wifi', 'sambung', 'internet']",id langgan kp mohon bantu trouble wifi sambung internet,2
"Dari gerbang perumahan , masuk ke selatan mentok , belok kiri , belok kiri , terus belok kanan.",KP1665,Dari gerbang perumahan masuk ke selatan mentok belok kiri belok kiri terus belok kanan ,dari gerbang perumahan masuk ke selatan mentok belok kiri belok kiri terus belok kanan ,"['dari', 'gerbang', 'perumahan', 'masuk', 'ke', 'selatan', 'mentok', 'belok', 'kiri', 'belok', 'kiri', 'terus', 'belok', 'kanan']","['dari', 'gerbang', 'perumahan', 'masuk', 'ke', 'selatan', 'mentok', 'belok', 'kiri', 'belok', 'kiri', 'terus', 'belok', 'kanan']","['gerbang', 'perumahan', 'masuk', 'selatan', 'mentok', 'belok', 'kiri', 'belok', 'kiri', 'belok', 'kanan']","['gerbang', 'rumah', 'masuk', 'selatan', 'mentok', 'belok', 'kiri', 'belok', 'kiri', 'belok', 'kanan']",gerbang rumah masuk selatan mentok belok kiri belok kiri belok kanan,1
