message,kode_user,severity,severity_manual
Besok tak foto dulu modem saya kak,,0,1
Apanya tidak ada kak?,,0,1
Ini aplikasi KAPTEN NARATEL bank BRIVA kalo bayar nya aku pakek dana bisa ta kak ?,,1,2
Ini di bayar lewat bank BRI bisa,KT1936,1,2
gimana cara cek verifikasi berhasil atau tidak nya,STJT0025,1,1
Ke BRI rekening,KT1936,0,2
Untuk paket superstar 15  mbps dengan modem sendiri apa ada promonya?,,1,4
2 perangkat itu penggunaan ta kak,,0,1
dicek kam jaringannya dulu,KI1919,0,2
Nomor rekening BANK BRI ini 57889360012033599,,0,1
Diatas itu lemot gitu ta kak,,2,1
Mas ini kan jatuh tempo nya tgl 8 semisal di bayar  besok siang ...gimana,KT1936,1,3
coba tolong cek dulu udah berhasil belum,STJT0025,1,1
sudah itu saja smp memastikan semua jaringannya normal,KI1919,0,4
tunai titip ke petugas teknisi waktu pasang saja,STJT0025,1,1
sebelum pemasangan honon informasi dulu biar bisa kondisikan takut nya lagi keluar,STJT0025,0,1
Ini bukti transfer nya pembayaran wi fi atas nama KADARYATI bulan OKTOBER 2025 kak .,,1,3
tanggal 17 saja kurang lebih jam 10,STJT0025,0,1
"Baik, saya cek dulu kak",KT1366,1,3
Bisa dipasang hari ini?,,0,4
Pilih pembayaran yg mana kalo pembayarannya cod teknisi kak?,,0,4
"Maaf, mau tanya gimana cara ubah password wifi saya yaaa...",KI2674,0,1
Masih tetap tdk bisa,STJT0015,0,2
Pakai wifi yg lain bisa,STJT0015,0,2
"Lek, kirimin foto warung yg dulu pernah di foto lek",,0,2
Belum punya kode referal,,0,1
Kok ada nominal tagihan sebelum pemasangan?,,1,1
Bukannya di bayar setelah pemakaian ta kak?,,1,1
"Oo, berarti bayar di awal gitu ya kak?",,1,2
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
Mohon di cek,,1,1
"ga kak, 13 pas diliat lagi senin trnyata, kerja soalnya",KM3789,0,2
Kapan kira2 teknisi memasang?,,0,1
Kak mohon maaf untuk email nya isi pake email sendiri atau email dari sana untuk bisa masuk kak?,KT2087,1,2
"Saya dapat info dari iklan, Ada paket apa saja?",,1,1
Kak ini wajib di isi ya?,KT2087,0,2
"Bisa kak, setelah jam 12 siang standby kak",,0,1
Muhamat AGUS  081366573839 Jl. Apel 1 Kiduldalem Bangil Pasuruan,,0,1
yang 15 mbps mbak,KP2332,0,2
Sudah cukup kak,,0,2
Yg 100 Mbps brp bos,,0,2
Ya wes golek liyane ae,,0,1
tunai saja kak,KP2332,0,4
Mau tanya tentang brosur yg ini kak,,0,2
"Rencana mau pasang , cuman pngn tau dulu bedanya apa",,1,1
mungkin jam 9 dengan ibu saya di rumah,KP2332,0,1
Kak minta VA BRI nya,JT0508,0,3
Soalnya mau download ga support ios apps nya,JT0829,0,1
wifi saya trouble kayak nya kok nyambung wifi gk bisa ya tadi coba di setting teman saya buat reset password sama ganti nama wifi soalnya banyak yang nyolong wifi depan rumah tapi kok malah password nya gk bisa masuk ya padahal udah bener kak,JT0976,2,3
"Ok siap , semisal ada trouble utk perbaikan tetap ada ya dari pihak kapten naratel nya ?",,2,1
Mau tanya apakah layanan wifi ini sudah tersedia di Kediri??,,0,4
"Semisal ada trouble/eror jaringan , bisa di bantu perbaikan ?",,2,2
"Ok siap , trimkasih informasinya🙏  Saya rundingkan dulu dg istri",,0,1
Notifikasi apa kak?,JT0829,0,1
Masih proses pending ya kak🙏,KP1009,0,3
Untuk informasi mengenai paket 100 Mbps / 150rb per bulan ini kak?,STKI0015,1,1
Waifinya belum bisa,KI2341,0,2
pembayarannya sudah kak..,KI2660,0,4
Sudah saya perpanjang,KI3356,0,1
Saya mau bayar tanpa aplikasi gimana cara nya,KI3356,1,1
Saya copy VA bca nya kok gk bisa ya,KI3356,0,4
Wifi nya gk bisa ya,KI3356,0,3
Bulan kemarin saya bayar via indomaret kalo ga alfamart kak,KT1574,1,2
"Saya dapat info dari iklan, Ada paket apa saja?",,1,1
"Terima kasih telah menghubungi Ferdi Bongpay, siap mengerjakan berbagai macam bentuk dan ukuran .. Garfir marmer/granite Mutu Kualitas dan hasil no 1",KT1519,0,4
Wifinya knpa hilang muncul ya? Padahal kmi cuma 12 perangkat,KT2072,0,1
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,3
"Assalamualaikum pak, saya izin konfirmasi mungkin yg dibilang kinta kamar depan saya benar pak, bahwa saya kamar pojok tidak sampai wifi nya dr kamar kita berduaa🙏🏻karena memang setiap malam sinyal nya cuma 1 ,saya coba kedepan kamar langsung enak wifi nya","KT0356, KT1515",1,1
"Mungkin bisa di geser kah pak modem wifi nya, karena wifi baru di letakkan di pojok yg dekat dengan balkon yaa, kan dibagi 2 sudahan mungkin bisa di geser sedikitt wifi yg ziyad 2","KT0356, KT1515",0,1
"Assalamualaikum pak, saya izin konfirmasi mungkin yg dibilang kinta kamar depan saya benar pak, bahwa saya kamar pojok tidak sampai wifi nya dr kamar kita berduaa🙏🏻karena memang setiap malam sinyal nya cuma 1 ,saya coba kedepan kamar langsung enak wifi nya",,1,1
Kota malang wilayah mana saja,,0,1
Bahkan untuk telfon pun sangat susahh,"KT0356, KT1515",0,4
Bahkan untuk telfon pun sangat susahh,,0,1
"Mungkin bisa di geser kah pak modem wifi nya, karena wifi baru di letakkan di pojok yg dekat dengan balkon yaa, kan dibagi 2 sudahan mungkin bisa di geser sedikitt wifi yg ziyad 2",,0,1
Tapi waktu saya coba kluar kamar sangat enak wifi nya,,0,2
Jl. Panji suroso no 49 Kelurahan Blimbing,,0,1
Alamat Pemasangan: Kelurahan: Arjosari Tahu Kapten Naratel dari Iklan FB,,0,2
kak tapi aku pake iphone gabisa ya di appstore?,KN0046,0,3
La ini blm apa dah 😂 😂 🤣,,0,2
Gak jadi ah 🙏,,0,2
Permisi selamat malam kakk,KT1574,0,4
Apa tetep yang ini?,KT1574,0,2
yg ini kak,KN0297,0,1
Hilang muncul tetap,KT2072,0,4
"Bsok aja ya pak, maaf🙏",KT2072,0,2
Soalnya dh malam ini,KT2072,0,2
Saya yg tadi mas 666,,0,1
"Atau untuk daerah Dau, lokasi kantor kapten dimana?",KT1574,0,1
Iya kak salwa,,0,2
Saya ketua RT 02 RW 04,,0,2
"Saya Santoso dari kelurahan Dadaprejo, tepatnya di RT O2 RW 04",,0,4
Apa saya bisa minta tolong untuk perapian kabel jaringan yg ada di wilayah RW 04 kelurahan Dadaprejo,,0,3
Apa ada nomor tlp yg bisa saya hubungi langsung,,0,1
"Sebelumnya sudah di split begini, tapi katanya kamar nomor 1 dan 12 yg diujung dapat sinyal 1, keluar kamar baru lancar",,0,3
Dan berapa kalo bayar langsung di kantor kak?,KT1574,1,1
"Saya sebelumnya terhubung langsung ke Bu Anisa, tp Krn beliaunya sudah keluar dr naratel, saya di beri nomor ini.",,0,1
Besok ya kak,,0,1
assalamualaikum kak mau tanya klo mau pasang wifi persyaratan nya apa saja yaa,,1,1
apakah tersedia untuk area banjararum singosari?,,0,2
belum tau ya,KD0035,0,1
"Kalo bayar via indomaret/alfamart, gimana kak?",KT1574,1,2
Bisa ditangani mas?,,0,2
"Nggih, untuk kode bayarnya gimana nggih kak?",KT1574,0,2
"Oh iyaa kak, saya lupa. Saya sudah download aplikasi kapten naratel. Disitu kalo klik bayar ada pilihannya, dan kalo semisal pilih alfamart nanti muncul kode bayarnya, itu valid kah kak?",KT1574,1,3
Btw itu sudah sesuai dengan id Pelanggan saya nggih kak?,KT1574,0,1
Sampai jaringannya merata mas,,0,1
Mungkin 1-2 meter,,0,1
Gimana kak kira kira wilayah daerah saya apa bisa pasang,,1,1
di tambah 10 ya kak,KN0297,0,3
sama tagihan nya nanti,KN0297,1,1
Id KT0356 aman,,0,2
Berarti pake yang mana kak?,KT1574,0,1
Yang saya ini,KT1574,0,4
Atau yang ini kak m,KT1574,0,2
Terimakasih informasinya nggih kak,KT1574,0,1
Oalah baik kak. Insya ALLAH besok kami bayar,KT1574,1,1
"Terima kasih atas konfirmasi pembayaran Anda. Masa aktif layanan telah kami perpanjang  Untuk informasi mengenai tanggal masa aktif, silakan cek melalui tautan berikut: https://pembayaran.kaptennaratel.com/  Jika wifinya masih belum bisa, mohon untuk me-restart modemnya. Caranya cabut adaptor selama 10 detik kemudian tancapkan lagi. Tunggu -/+3menit, sampai internet normal kembali",KI2341,4,1
Baik kakk. Terimakasih sekali lagii,KT1574,0,1
Transfer ya kak,KP2368,1,2
Tunai saat teknisi datang ya kak,STKI0015,0,2
maaf baru sempat dibayar,KI2548,0,1
"Saya dapat info dari iklan, Ada paket apa saja?",,1,4
Alamat danau matana 3 f2L1,,0,1
"Saya dapat info dari iklan, Ada paket apa saja?",,1,1
sudah saya bayar ya kak,KI2548,1,1
Untuk virtual akun BRI ada ka?,KT0727,0,2
Sudah kami bayar kak,KT1574,1,1
204kb gitu kak,,0,1
Udah semua kak,,0,1
Kok ada gangguan,KM1842,2,3
Kelurahan: plalar sukoanyar kec. Pakis kab. Malang,,0,1
Iya suda akurat kak,,0,2
Wifi tidak bisa,KM1434,0,4
Iya kak dulu rumah ini memang sempat buat dagang tapi sekarang sudah tidak,,0,4
Mohon  untuk tagihan ini d kirim ke 085235186644 Atas nama fikri Untuk selanjutnya tiap bln pemberitahuan ke fikri saja nggih krn yg bayarkan fikri Trm ksh 🙏,JT0768,1,1
Trus pembayarannya bagaimana kak?,KT2075,0,1
Iya kak hari ini,KT2075,0,4
Suda 3kali coba,KI2341,0,1
"Saya dapat info dari iklan, Ada paket apa saja?",,1,1
info paket apa aja kak,,1,1
Td saya sudah klik itu to perlu kode referal dr CS,KT2075,0,2
nomer telpon:081330421295 Alamat: desa watesnegoro ngoro Mojokerto,,2,1
Kemarin dari Admin bilangnya tinggal bayar paket 10 mbps,KT2075,1,1
Paket superstar 100 Mbps 150rb per bulan ya kak.,STKI0015,1,1
Cobanya sebulan maksudnya ya kak,KT2075,0,2
"miinn, mau minta pindahin Wi-Fi bisa gaa ??","KT0206, KT1517",0,1
Baik kak. Tak coba buka,KT2075,0,2
QR pembayaran tunainya di menu apa ya kak?,KT2075,0,4
tolong ya kak ini urgent,JT0976,0,4
Sama2 kak makasih infonya,,0,4
Ini sudah sy klik,KT2075,0,1
Iya terus klik mana lagi kak?,KT2075,0,1
Ada gininya kak,KT2075,0,3
ID KAPTEN KP2176 tolong bisa di bantu kunjungi teknisi .. Wifi tiba² mati tidak menyala,KP2176,2,4
Kmaren sempet mau bayar. Tp belum jadi karena mau upgrade.,KT2075,1,3
Baru tau tidak nyala wifi nya pagi ini jam 6:30 terima kasih,KP2176,1,4
Mohon segera di tindak lanjuti karena mau di gunakan bekerja terima kasih,KP2176,0,1
MB sekarang Pumpung santai,"JT0760, JT0773",0,1
Iya ada kak,KT2075,0,1
Selanjutnya gimana kak?,KT2075,0,1
Kirim pemb mau saya bayar mn,"JT0760, JT0773",1,1
10 MB   5 mb,"JT0760, JT0773",0,2
Apa sdh betul ini,"JT0760, JT0773",0,3
Oh gitu. Oke kak. Coba saya bayar dulu,KT2075,1,2
Maap kak.. Wifi saya mati.. Kabellnya putus terkena mobill dijln .. Posiisi didresell kak tlong bisa dbantu..,KD1176,2,1
Baik terimakasih kak,,0,3
Tidak ada menyala sama sekali,KP2176,0,4
Sudah saya coba ganti kabel adaptor nya tetap ndak nyala,KP2176,1,1
Minta tolong untuk bisa di cek lngsng,KP2176,1,1
Perlu reset router kah kak?,KT2075,0,2
"Iya sdh, terimakasih",KM0048,0,3
Bagaimana ya min?,JT1125,0,3
besok bisa di psang kak?,STKP0039,0,3
Assalamualaikum  KK bisa minta VA BRI  KT1164  an Kasemi  jl Ir Soekarno 26 Batu,,0,4
Struknya masih blum ktmu mbk...,KD1176,0,1
Masih pensing trus ya kak,KP1009,0,4
yg 150rb 100mbps,STKP0039,0,1
"Ini sya dijln anggrek.. Rt02,rw08 dresell oro2 ombo atas nama agus kurniawan",KD1176,0,1
"Kalo pakai quality HD, putus2",KM1434,0,2
kan ini maximal 10 perangkat ya,STKP0039,0,1
ini kalo semisal udah ga nyambung ke wifinya berarti bisa ya?,STKP0039,0,1
"sudah ya kak, makasiih",KN0046,0,2
"Siang, info pemasangan Wifi di Satyacandi, ada paket apa aja? Sama biayanya brp?",,1,3
Iy kak.. Trimakasih,KD1176,0,1
daftarnya ke kantor naratel atau gmn yaa,STKP0039,0,1
"laptop ada 2, tv 1 sisanya ya hp kak",STKP0039,0,1
Saya tunggu jawaban dari operasional dulu ya kak... Klo hari ini g bisa saya kekantor langsung aja bayar nya,KP1009,1,1
Di putus aja mbak,JT0894,2,4
Setiap bulan berganti nomor VA nya kah kak?,,0,2
kak mau tanya,,0,1
Jam brp mbak pagi ini .. Terima kasih,KP2176,0,3
kak kalau sudah jatuh tempo itu kakanya ga nagih kak?,,0,1
Mbak saya bayar pake Briva kog tdk bisa knp,"JT0254, JT0474",1,2
Ya sudah saya tunggu ... Jam 9 pagi ya .. Karena jam 9:30 - 10:00 saya jemput anak pulang sekolah .. Biar segera tertangani dan bisa di gunakan kerja .. Terima kasih atas fast responnya,KP2176,0,2
Iya sudah kemaren Tp tetep gagal,KP1009,0,1
Di atas ini mbak,"JT0254, JT0474",0,2
Iya ini yang awal tf.. Yg ke 2 saya cobak 123rb masi gagal,KP1009,1,1
hpnya ngk dukung,,0,1
untuk nomor om saya tetep kan kak?,,0,1
soalnya kemarin yg kunjungan ke rumah saya itu pakai wa ibu saya,,0,1
Minta tolong knapa kwalitas wifi skrg kok lemot ya,KM0787,2,4
Nama : Ali Makki Alamat : raya gondowangi (toko sembako madura ) dekat masjid kec.wagir kab.malang No tel : 0877-7251-8639,"KN0436, KN0623, KN0624",0,3
"soalnya yg bayar om saya kak, saya gak enak mau nagih ke om saya",,1,2
gabisa di download melalui ios kak,,0,1
kak bisa ditagihkan ke om saya aja bagimana🙏🏽,,0,4
Ini ditempat kami kok sering putus nyambung,KM1291,2,1
Sdh semingguan lebih,KM1291,0,1
Atas nama Toni Dwi Harto,KM1291,2,2
Sekarang gak nyambung blass,KM1291,0,1
Pake paketan Telkomsel ini saya,KM1291,0,1
salah pencet 😭😭,STKP0039,0,3
Tp hanya untuk vidio dg quality rendah yg lancar untuk YouTube lancar,KM1434,0,4
Sudah bayar kak,KI3352,1,3
oiya kak bener itu nomor om saya,,0,1
Pgi kak iy kak 😊nnti di tindak lanjuti nnti pke hp temanku mohon maaf agak telat soalx tmnku msi tidur pin tu kmr nya lom buka,,0,2
Okeyy kak makasi,KI3352,0,4
cuma pindah kamar kosan min,"KT0206, KT1517",0,1
Iy kak 😊mksi kak 😊,,0,1
gabisa ndownload apk kak memori penuh,KP1265,0,1
untuk laptop gmn,STKP0039,0,4
Mbak IP nya static nggak?,,0,2
Mbak mana. No Briva nya kog gak ada,"JT0254, JT0474",0,1
langsung tunai saja,STKP0039,0,4
sabtu pagi jamberapa kak?,STKP0039,0,1
berarti total 450.000 ya kak?,STKP0039,0,1
Baik kak. Sudah cukup kakak. Terima kasih bantuannya kak 🙏,KT2075,0,1
coba pean kan bisa,,0,2
aplikasi nya di download dlu ya kak?,KN0297,0,1
"Skrng shi puji tuhan pak, lancarr",KT2072,0,2
jam set 9 gimana kak?,STKP0039,0,1
tidak ada tambahan biaya kan?,STKP0039,0,1
"Ya bisa, sekitar jam 1 siang saya tunggu",KM1291,0,3
Tolong setiap bulan saya dikirimi ya.  Biar saya tdk terlambat bayarnya,"JT0254, JT0474",2,4
Ya trimakasih mbak,"JT0254, JT0474",0,1
Skrang malah gak bisa kak,KM1434,0,1
vidio ini tdk tersedia katanya kak,KN0297,0,1
Ya min terimakasih,KM1291,0,1
hari ini bisa ga ?,"KT0206, KT1517",0,2
Silakan di cek sudah sy transfer untuk bulan depan trimkasih,JT0897,1,1
Kk tolong info selanjutnya bisa di kirim ke no 08990062999.karna nomor yg ini hp sering eror trimakasih,JT0897,0,4
Superstar 100 Mbps bayar 3 bln gratis modem,,1,1
Pendaftaran dilanjut ke nomer ini :,,0,2
Kemarin lusa sdh dijelaskan...,,0,1
daftar dlu ya kak?,KN0297,0,1
Nanti siang sj  pas istirahat msh kuliah..,,0,1
"Dear Sobat Kapten Novita Dian Trisnaningsari, 📌 Abaikan pesan ini jika Anda sudah melakukan pembayaran.  Berikut adalah detail tagihan layanan Anda: ID Pelanggan  : KM1519 Paket Layanan : 10 Mbps Harga Paket : Rp 175.000 Jatuh Tempo : 7 Juli 2025  - Pembayaran dapat dilakukan melalui transfer ke Virtual Account BRI dan Mandiri, atau secara tunai di Alfamart dan Indomaret. - Pembayaran akan otomatis diperpanjang oleh sistem tanpa perlu konfirmasi. - Jika dalam 20 menit setelah pembayaran Anda belum menerima notifikasi sukses, silakan hubungi kami untuk konfirmasi lebih lanjut. - Nomor Virtual Account (VA) akan berubah setiap bulannya. - Total tagihan di bawah ini sudah termasuk biaya layanan.  🟢 BRI Virtual Account (BRIVA)   Total Tagihan : Rp 177.500 Biaya Layanan : Rp 2.500   Nomor VA : 5788-9340-0061-8953-8 a.n. KM1519 Novita Dian Trisnaningsari  🟡 Mandiri Virtual Account   Total Tagihan : Rp 177.800   Biaya Layanan : Rp 2.800   Nomor VA : 8889-8100-2192-363   a.n. KM1519 Novita Dian Trisnaningsari  🔵 Pembayaran via Alfamart   Total Tagihan : Rp 180.000   Biaya Layanan : Rp 5.000   Kode Pembayaran : 1001448035872   a.n. KM1519 Novita Dian Trisnaningsari  🟣 Pembayaran via Indomaret   Total Tagihan: Rp 180.000   Biaya Layanan : Rp 5.000   Kode Pembayaran: 448035871   a.n. KM1519 Novita Dian Trisnaningsari  📘 Panduan pembayaran selengkapnya dapat diakses melalui:   🔗 https://pembayaran.kaptennaratel.com  Apabila ada keluhan dan kendala layanan, silakan hubungi customer service:   📞 +62 882-1202-2222  Terima kasih 🙏🏻",KM1519,1,1
itu ada ID pelanggannya ya,KM1519,0,1
Halo paket superstar masih berlaku?,,1,2
Saya pakai VA BRI yang bulan lalu tidak bisa,"KN0563, KN0565",0,4
"🙏 *GUYONAN HARI INI* 🙏   Yang penting kita harus berusaha, misal gagal itu nomor dua, yang nomor satu itu ketuhanan yang maha esa, hehehe💪🙏    💪 *Hati Senang Rejeki Datang* 🤲 ----------------------------------------------- *PROMO SUZUKI* 🛻 *New Carry dp10juta*  🚘 *Ertiga dp10juta*  🚘 *XL-7 Dp15juta* 🚘 *Vitara Dp30juta* 🚘 *Spresso Dp15juta* 🚙 *Jimny Dp100juta* 🚘 *SUZUKI FRONX Dp27jt*   Butuh Mobil Suzuki hub : *IFAN Suzuki UMC MALANG* Slamat pagi dan semoga selalu diberikan rizky yang lancar dan kesehatan, aminnn",,1,1
KN0563 a/n Buyung Buchori,"KN0563, KN0565",0,1
"Hallo kak dengan Mela Customer Service kapten Naratel, masih berlaku ya kak bisa dibantu mengisi format berikut terlebih dahulu ya kak Nama: Alif Alamat permasangan: jln panglima sudirman gg 17 no19a Kelurahan:purworejo Tahu Kapten dari mana:internet Sharelokasi:https://maps.app.goo.gl/qkxLg9XaoM8RDsRq8  terimakasih😊",,0,1
mau pasang wifi naratel tp kok belum jelas,,1,2
klo ke kantor ada di mana yg dekat sini ato saya tlp aja di nomer berapa ?  terima kasih  🙏🙏,,0,4
klo langsung bayar 3 bulan itu sd dapat modem ya,,1,4
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Nama, nomor telfon (wajib isi): INAYATUL FAUZIYAH (081327428778) Alamat Pemasangan (wajib isi): NGAMPRONG, RT 01/ RW 05, BANJAREJO, PAKIS, MALANG Kelurahan: BANJAREJO Share location (wajib isi): Tahu Kapten Naratel darimana:  PERNAH PASANG DI KOS DAU     Terima kasih 😊",,1,3
kok tetep gabisa wifinya kak,KP1265,0,2
Iya betul kak,STKI0015,0,1
Ada yang bisa dibantu?,KM2762,0,1
Orangnya ga tau mbak .... bln kmrn sy jg bayarin tp skrg sy byr lg ga bs di pke lg,KP1136,0,3
Sudah ka terimakasih,KT0727,0,1
ini 3 bulan sampai januari kak?,STKP0039,0,1
"Sudah bayar, tapi kok perpanjangan masih belum ada notifikasinya","KN0563, KN0565",1,1
"Ternyata sudah kak, terimakasih","KN0563, KN0565",0,1
Kak mau tanya kl di batu bisa kak,KD1851,0,4
malam bisa ga yaa miin ??,"KT0206, KT1517",0,2
"Sy pakai buat vila kak Buat cctv sama internet karoke,you tube aja",KD1851,0,2
Mohon di cek ya,KD0581,1,2
Buat pemakaian di vila,KD1851,0,1
10 Mbps cukup kak?,KD1851,0,1
"Perkiraan kalo pasang sekarang, di prosesnya kpn ya",,1,1
Bukan cuma hari ini saja sudah mulai seminggu yg lalu,"KT0061, KI3297",0,1
Bisa dipasang kapan kak,KD1851,0,4
Boleh di proses kak,KD1851,0,1
Sy bth cepat🙏,KD1851,0,2
lagi di luar soalnya,,0,1
masih tanya orgnya kak yg punya email,KN0297,0,4
Mohon secepatnya ya kak🙏,KI2341,0,1
Nggak bisa kak,KD1851,0,1
Sudah bayar kak kemaren,KD0581,1,2
Kode promo harus di isi kah,KD1851,1,3
Harga setelah ppn brp? Biaya pemasangan dan ONTnya?,,1,1
Zona neighborhood kec. Pakis,,0,1
Rt dan rw saya nggak tau kak,KD1851,0,3
"Selamat pagi Naratel....kenapa sekarang signal kalo dipake telp, gampang putus2 ya Pdhl saya di posisi yg sama",KN0094,0,2
Suda berapa kali coba ini kak,KI2341,0,1
"Mohon info. Untuk pembayaran melalui alfamart, no kode (VA) alfamart setiap bulan no nya tetap apa berubah setiap bulan",KJ0988,0,2
Itu 150 brp mbps ya?,,0,1
berarti 300rb itu hitungannya bayar di awal ya kak ?,JT0569,1,1
Nanti ganti sandi dulu ya mas,KT1109,0,1
ini saya kan makai yg 5mbps kak  langsung ganti ke 100mbps bisa ya kak ?,JT0569,0,1
Trf nya kemana,KD1851,0,2
"Kak, nanti kalau ada teknisinya yg cek lokasi minta tolong untuk bisa menghubungi saya di nomor ini ya",,1,4
Cara restartny gimana kka?,"KT0061, KI3297",0,1
saya sudah pesan naratel lewat pak hadi toko disini,,0,1
katanya nanti bisa langsung pasang,,1,1
No rek nya mana,KD1851,0,1
kalok yg 100mbps kenak berapa itu kak totalnya,JT0569,0,3
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
Sudah aman kak,"KT0061, KI3297",0,1
Ok siap kak,"KT0061, KI3297",0,1
"Saya dapat info dari iklan, Ada paket apa saja?",,1,2
Nama: Maria Wilujeng  Nomor Telfon: 085298614964  Alamat Pemasangan: Perum Satya Candi Permai Blok C-49 Kelurahan Sekargadung kec. Purworejo Kota Pasuruan  Share location:   Tahu Kapten Naratel darimana: tetangga dan browsure     Terima kasih 😊,,0,2
Harga 100 mbps berapa?,,1,1
Sudah ya kak,KM3242,0,1
Untuk pasang biayanya pertama berpa?,,1,1
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
Mohon maaf mengganggu waktunya Kak,,0,1
Untuk wilayah grati apakah aada mas,,0,2
"Bisa tolong dibantu mengisikan terlebih dahulu kak nomor/nama kontak : Yusuf alamat : Perum Karangploso View, Ngenep, Karangploso  shareloc :",,0,2
Ini sudah pakai fiber optic ya ka?,,0,1
Iya....dan memang utk YouTube lemot juga,KN0094,2,1
Blum kegrati ya,,0,1
Terima kasih info nya,KD1851,0,3
Selamat Siang Kak,,0,1
Sy nggak dikirim rek nya kak,KD1851,0,1
"Maaf sebelumnya ya kak sudah mengganggu waktunya kak Gini Kak ini teman"" Pada ngeluh soalnya ada yang nggak bayar tapi konek Apa bisa ya Kak pasword nya do ganti Kak?  Makasih Kak🙏🏽",,1,1
Selamat siang kak,KT1317,0,2
Silfester Asinan Jata,KT1317,0,2
Baik kak Makasih ya Kak🙏🏽,,0,1
Oke....gimana cara ganti password nya,KN0094,1,2
Wifinya kok merah kk,KD0870,0,1
Sudah bisa kak Makasih ya Kak Maaf sebelumnya sudah mengganggu waktunya Kak🙏🏽,,0,1
Masih belum bisa kak,,0,2
"✨ INTERNET CEPAT UNTUK KELUARGA HEBAT! ✨ Mau internet super ngebut dengan harga super hemat? Saatnya beralih ke Kapten Naratel Paket SUPERSTAR! 🚀  🔥 Keunggulan Paket SUPERSTAR: ✅ Kecepatan Real Speed ✅ Unlimited kuota, bebas internetan sepuasnya ✅ Gratis instalasi ✅ Garansi 624 → Gangguan lebih dari 6 jam = kompensasi 24 jam masa aktif GRATIS! 🎁 Bayar 3 bulan langsung, GRATIS MODEM!  💡 Pilihan Paket Internet SUPERSTAR: ⚡ 15 Mbps hanya Rp99.000/bulan ⚡ 30 Mbps hanya Rp130.000/bulan ⚡ 100 Mbps hanya Rp150.000/bulan ⚡ 200 Mbps hanya Rp250.000/bulan  📞 Segera hubungi: 0882-1202-2222 🌐 Info lengkap: kaptennaratel.com  Jangan tunggu lama, wujudkan internet cepat untuk keluarga hebat bersama Kapten Naratel! 💥",,2,1
Udh ya kak,KD1851,0,1
Mas pasang di singosari bisa ga mas?,,1,1
Sy tgg team di lokasi ya utk pemasangannya,KD1851,0,2
Mohon bantuannya kak🙏🏻,,0,3
"Rumah Khitan Syafaat dr. Iqbal Alamat : Jl. Balaikambang Perum persada bhayangkara no. K8, Pagentan, Singosari - Malang",,0,4
selamat siang untuk pembayaran via BCA apa no rek nya masih tetap?,KM1989,0,2
Saya cari di app store tdk ditemukan kapten naratel😁,KI3305,0,1
Brrti bisa ya mas pasang di singosari?,,1,1
Sampun....ini saya coba dulu,KN0094,0,1
Mas apa bisa Masi bisa bayar wafi,KT1109,1,1
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
ini mau bayar kok tdk bisa,JT0652,1,4
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
"Saya dapat info dari iklan, Ada paket apa saja?",,1,1
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: Pasar besar Kelurahan: mayangan Share location: Tahu Kapten Naratel darimana:   ig    Terima kasih 😊",,0,1
kalau semisal pakai email lain bisa ngak?,KN0297,0,3
Kepanjen kabupaten malang,,0,2
Apa tiap perangkat bayar sendiri²?,,1,2
Lemot kak tiba tiba sinyal hilang,,2,1
Untuk pemasangannya apa bisa jari ini?,,0,3
"Sy mau alihkan nama pelanggan kak, diganti sama teman sy soalnya sy udah mau pulang kampung",KJ1690,0,3
0821-4417-7341  atas Nama Edward kak,KJ1690,0,1
Alhamdulilah sudah bisa,KT2055,0,1
Iya kak terimakasih,KJ1690,0,1
bisa konfirmasi ke kontak teman sy kak supaya dia bisa tau,KJ1690,1,2
Jadi apa bisa untuk daerah saya kak?,,0,3
Owh faham kak,,0,1
Ini saya mau byr di Indomaret kok GK bisa ya,JT1042,0,1
Saya pikir kapten naratel,JT1042,0,1
Tidak ada terimakasih,JT1042,0,1
Berarti paket superstar Itu kayak wifi voucher gitu ya kak,,1,1
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,2
Info dong harga promo dan harga gk promo..maksud saya setelah tidak promo,,1,1
Sudah kak terima kasihhh,KI1398,0,4
Bukti transfer mbak,JT0500,1,1
Karena kemarin mau kirim ngak bisa mbak saya pakai BRI,JT0500,0,3
Via virtual account bca ya,,0,1
Baik kak terimakasih,,0,1
Yg 150 brp mbps?,,0,1
Selamat siang kak Mau tanya untuk promo wifi 15mbps 99k masih ada?,KP2334,1,3
"Kak sbnernya sy masih ada wifi indihome. Tp mau sy putus dan ganti natatel. Sy mau padang naratel dulu, Ini tdk ada kendala kan ya?",KP0850,2,3
Kak sy ada rencana mau pasang,KP0850,1,1
"Assalamualaikum wrwb. Mas, internet dgn id pelanggan K10400 sudah dilepas ya? maaf sy baru tiba di malang dr kupang. yerima kasih",,0,2
