id,kode_user,paket_satuan,status_log,lama_aktivasi
621,KM0667,5 Mbps,y,44 bulan
622,KI1137,10 Mbps,y,44 bulan
623,KJ1903,10 Mbps,y,44 bulan
624,KJ1904,10 Mbps,y,44 bulan
625,KI1147,10 Mbps,y,44 bulan
626,KJ1906,5 Mbps,y,44 bulan
627,KM0673,5 Mbps,y,44 bulan
628,KM0676,10 Mbps,y,44 bulan
629,KM0682,5 Mbps,y,44 bulan
630,KI1154,10 Mbps,y,44 bulan
631,KM0688,10 Mbps,y,44 bulan
632,KJ1913,5 Mbps,y,44 bulan
633,KI1162,10 Mbps,y,44 bulan
634,KI1160,10 Mbps,y,44 bulan
635,KJ1915,5 Mbps,y,44 bulan
636,KM0689,5 Mbps,y,44 bulan
637,KI1164,5 Mbps,y,44 bulan
638,KI1166,10 Mbps,y,44 bulan
639,KM0687,10 Mbps,y,44 bulan
640,KM0686,5 Mbps,y,44 bulan
641,KM0699,5 Mbps,y,44 bulan
642,KJ1907,5 Mbps,y,44 bulan
643,KJ1908,5 Mbps,y,44 bulan
644,KI1178,10 Mbps,n,44 bulan
645,KM0711,5 Mbps,y,44 bulan
646,KI1156,10 Mbps,y,44 bulan
647,KJ1921,10 Mbps,y,44 bulan
648,KN0005,10 Mbps,y,44 bulan
649,KM0703,5 Mbps,y,44 bulan
650,KM0716,10 Mbps,y,44 bulan
651,KM0714,5 Mbps,y,44 bulan
652,KM0721,10 Mbps,y,44 bulan
653,KJ1936,5 Mbps,y,44 bulan
654,KN0007,10 Mbps,y,44 bulan
655,KM0734,5 Mbps,y,43 bulan
656,KM0732,5 Mbps,y,43 bulan
657,KJ1945,10 Mbps,y,43 bulan
658,KM0727,5 Mbps,y,43 bulan
659,KI1200,11 Mbps,n,43 bulan
660,KI1201,5 Mbps,y,43 bulan
661,KM0742,10 Mbps,n,43 bulan
662,KI1202,5 Mbps,y,43 bulan
663,KJ1958,5 Mbps,y,43 bulan
664,KM0745,10 Mbps,y,43 bulan
665,KM0746,5 Mbps,y,43 bulan
666,KJ1967,5 Mbps,y,43 bulan
667,KM0751,5 Mbps,y,43 bulan
668,MLG015,10 Mbps,y,
669,KM0752,5 Mbps,y,43 bulan
670,KJ1978,10 Mbps,y,43 bulan
671,KI1216,10 Mbps,y,43 bulan
672,KJ1982,5 Mbps,y,43 bulan
673,KM0758,5 Mbps,n,43 bulan
674,KN0013,15 Mbps,y,43 bulan
675,KM0757,10 Mbps,y,43 bulan
676,KJ1993,5 Mbps,y,43 bulan
677,KJ1992,10 Mbps,y,43 bulan
678,KM0749,5 Mbps,y,43 bulan
679,PAS205,5 Mbps,n,43 bulan
680,KJ1991,10 Mbps,y,43 bulan
681,KM0767,5 Mbps,y,43 bulan
682,KI1224,15 Mbps,y,43 bulan
683,KM0754,10 Mbps,y,43 bulan
684,KM0782,5 Mbps,y,43 bulan
685,KM0780,10 Mbps,n,43 bulan
686,KM0787,5 Mbps,y,43 bulan
687,KM0773,10 Mbps,y,43 bulan
688,KM0786,5 Mbps,y,43 bulan
689,KM0771,5 Mbps,y,43 bulan
690,KM0789,10 Mbps,y,43 bulan
691,KM0791,10 Mbps,y,43 bulan
692,KM0793,5 Mbps,y,43 bulan
693,KM0792,5 Mbps,y,43 bulan
694,KI1246,10 Mbps,y,42 bulan
695,KJ2032,10 Mbps,y,42 bulan
696,KM0814,10 Mbps,y,42 bulan
697,KJ2030,15 Mbps,y,42 bulan
698,KM0816,5 Mbps,y,42 bulan
699,KI1251,5 Mbps,y,42 bulan
700,KM0817,5 Mbps,y,42 bulan
701,KJ2041,10 Mbps,y,42 bulan
702,KM0822,5 Mbps,y,42 bulan
703,KJ2049,5 Mbps,y,42 bulan
704,KJ2052,5 Mbps,y,42 bulan
705,KJ2059,5 Mbps,y,42 bulan
706,KI1265,5 Mbps,y,42 bulan
707,KJ2064,5 Mbps,y,42 bulan
708,KI1271,10 Mbps,y,42 bulan
709,KI1274,10 Mbps,y,41 bulan
710,KJ2070,5 Mbps,y,41 bulan
711,KI1280,10 Mbps,y,41 bulan
712,KJ2073,5 Mbps,y,41 bulan
713,KM0845,5 Mbps,n,41 bulan
714,KJ2074,10 Mbps,n,41 bulan
715,KM0847,10 Mbps,n,41 bulan
716,KN0018,10 Mbps,y,41 bulan
717,KJ2083,5 Mbps,y,41 bulan
718,KI1284,10 Mbps,y,41 bulan
719,KM0851,10 Mbps,y,41 bulan
720,KJ2081,5 Mbps,y,41 bulan
721,KM0852,10 Mbps,y,41 bulan
722,KJ2079,5 Mbps,y,41 bulan
723,KM0856,5 Mbps,y,41 bulan
724,KM0859,5 Mbps,n,41 bulan
725,KM0850,5 Mbps,y,41 bulan
726,KI1292,5 Mbps,n,41 bulan
727,KM0864,5 Mbps,n,41 bulan
728,KM0857,5 Mbps,n,41 bulan
729,KM0858,10 Mbps,y,41 bulan
730,KM0862,5 Mbps,y,41 bulan
731,KI1300,5 Mbps,y,41 bulan
732,KJ2093,10 Mbps,y,41 bulan
733,KI1302,10 Mbps,y,41 bulan
734,KI1299,10 Mbps,y,41 bulan
735,KM0875,5 Mbps,y,41 bulan
736,KM0868,5 Mbps,y,41 bulan
737,KJ2097,5 Mbps,y,41 bulan
738,KI1304,10 Mbps,y,41 bulan
739,KJ2099,5 Mbps,y,41 bulan
740,KJ2105,15 Mbps,y,41 bulan
741,KJ2104,5 Mbps,y,41 bulan
742,KJ2102,5 Mbps,y,41 bulan
743,KI1308,15 Mbps,y,41 bulan
744,KM0887,10 Mbps,y,41 bulan
745,KJ2124,5 Mbps,n,41 bulan
746,KM0888,5 Mbps,y,41 bulan
747,KI1320,10 Mbps,y,41 bulan
748,KJ2130,5 Mbps,y,41 bulan
749,KM0894,10 Mbps,y,41 bulan
750,KM0893,10 Mbps,y,41 bulan
751,KI1328,10 Mbps,y,41 bulan
752,KN0021,10 Mbps,y,41 bulan
753,KJ2140,10 Mbps,y,41 bulan
754,KM0898,10 Mbps,n,41 bulan
755,KM0896,10 Mbps,y,41 bulan
756,KM0901,5 Mbps,y,41 bulan
757,KI1336,10 Mbps,y,41 bulan
758,KJ2145,10 Mbps,y,41 bulan
759,KM0854,5 Mbps,y,40 bulan
760,KI1337,10 Mbps,y,40 bulan
761,KJ2157,5 Mbps,y,40 bulan
762,KJ2163,15 Mbps,y,40 bulan
763,KJ2169,10 Mbps,y,40 bulan
764,KM0905,5 Mbps,y,40 bulan
765,KI1351,5 Mbps,y,40 bulan
766,KI1353,5 Mbps,y,40 bulan
767,KM0921,5 Mbps,y,40 bulan
768,KM0930,5 Mbps,y,40 bulan
769,KJ2182,10 Mbps,y,40 bulan
770,KM0934,5 Mbps,y,40 bulan
771,KI1360,5 Mbps,y,40 bulan
772,KJ2184,5 Mbps,y,40 bulan
773,KJ2186,5 Mbps,y,40 bulan
774,KM0950,10 Mbps,y,40 bulan
775,KM0935,10 Mbps,y,40 bulan
776,KJ2190,15 Mbps,y,40 bulan
777,KI1366,5 Mbps,y,40 bulan
778,KJ2195,10 Mbps,y,40 bulan
779,KJ2192,10 Mbps,y,40 bulan
780,KM0941,5 Mbps,y,40 bulan
781,KM0961,5 Mbps,n,40 bulan
782,KM0959,10 Mbps,y,40 bulan
783,KI1374,20 Mbps,y,40 bulan
784,KM0960,5 Mbps,y,40 bulan
785,KM0963,10 Mbps,y,40 bulan
786,KM0956,15 Mbps,y,40 bulan
787,KJ2206,10 Mbps,y,40 bulan
788,KI1377,10 Mbps,n,40 bulan
789,KI1382,10 Mbps,y,40 bulan
790,KM0972,10 Mbps,y,40 bulan
791,KJ2211,10 Mbps,y,40 bulan
792,KJ2212,5 Mbps,y,39 bulan
793,KM0980,5 Mbps,y,39 bulan
794,KJ2224,5 Mbps,y,39 bulan
795,KI1388,5 Mbps,y,39 bulan
796,KJ2231,20 Mbps,y,39 bulan
797,KM0987,5 Mbps,y,39 bulan
798,KM0988,10 Mbps,y,39 bulan
799,KI1398,10 Mbps,y,39 bulan
800,KI1400,5 Mbps,y,39 bulan
801,KM0993,5 Mbps,n,39 bulan
802,KM0999,5 Mbps,y,39 bulan
803,KM0998,5 Mbps,y,39 bulan
804,KJ2243,5 Mbps,y,39 bulan
805,KI1404,10 Mbps,y,39 bulan
806,KM1001,10 Mbps,n,39 bulan
807,KM1005,10 Mbps,y,39 bulan
808,KM1006,5 Mbps,y,39 bulan
809,KJ2255,10 Mbps,y,39 bulan
810,KM1011,10 Mbps,y,39 bulan
811,KI1369,5 Mbps,y,39 bulan
812,KI1417,5 Mbps,y,39 bulan
813,KJ2257,10 Mbps,y,39 bulan
814,KI1427,10 Mbps,y,39 bulan
815,KI1430,10 Mbps,y,39 bulan
816,KN0030,10 Mbps,y,39 bulan
817,KN0031,5 Mbps,y,39 bulan
818,KM1018,10 Mbps,y,38 bulan
819,KI1439,15 Mbps,y,38 bulan
820,KI1451,10 Mbps,y,38 bulan
821,KM0986,5 Mbps,y,38 bulan
822,KI1464,10 Mbps,y,38 bulan
823,KM1033,5 Mbps,y,38 bulan
824,KI1461,20 Mbps,y,38 bulan
825,KI1470,10 Mbps,y,38 bulan
826,KM1035,5 Mbps,y,38 bulan
827,KI1469,10 Mbps,y,38 bulan
828,KM1037,10 Mbps,y,38 bulan
829,KI1471,5 Mbps,y,38 bulan
830,KM1041,5 Mbps,y,38 bulan
831,KJ2292,5 Mbps,y,38 bulan
832,KI1480,5 Mbps,y,38 bulan
833,KI1479,5 Mbps,y,38 bulan
834,KI1482,5 Mbps,y,38 bulan
835,KM1044,10 Mbps,y,38 bulan
836,KI1485,10 Mbps,y,38 bulan
837,KI1486,5 Mbps,y,38 bulan
838,KJ2295,10 Mbps,y,38 bulan
839,KI1487,6 Mbps,y,38 bulan
840,KM1048,5 Mbps,y,38 bulan
841,KI1492,10 Mbps,y,38 bulan
842,KI1483,10 Mbps,y,38 bulan
843,KM1053,5 Mbps,y,38 bulan
844,KJ2302,5 Mbps,y,38 bulan
845,KM1057,10 Mbps,y,38 bulan
846,KI1500,20 Mbps,y,38 bulan
847,KJ2307,5 Mbps,y,38 bulan
848,KI1502,5 Mbps,y,38 bulan
849,KJ2308,5 Mbps,y,38 bulan
850,KI1504,15 Mbps,y,38 bulan
851,KJ2314,5 Mbps,y,38 bulan
852,KM1066,10 Mbps,y,38 bulan
853,KI1515,15 Mbps,y,38 bulan
854,KJ2322,10 Mbps,n,38 bulan
855,KI1517,15 Mbps,y,38 bulan
856,KM1076,10 Mbps,y,38 bulan
857,KJ2331,5 Mbps,y,38 bulan
858,KJ2338,5 Mbps,y,38 bulan
859,KI1522,5 Mbps,y,38 bulan
860,KI1525,10 Mbps,y,38 bulan
861,KM1077,10 Mbps,y,38 bulan
862,KI1531,15 Mbps,y,38 bulan
863,KM1082,5 Mbps,y,38 bulan
864,KJ2347,5 Mbps,y,37 bulan
865,KI1534,10 Mbps,y,37 bulan
866,KI1533,5 Mbps,y,37 bulan
867,KJ2351,5 Mbps,y,37 bulan
868,KJ2350,15 Mbps,y,37 bulan
869,KM1093,10 Mbps,y,37 bulan
870,KJ2335,10 Mbps,y,37 bulan
871,KJ2370,5 Mbps,y,37 bulan
872,KI1552,5 Mbps,y,37 bulan
873,KM1108,15 Mbps,y,37 bulan
874,KI1521,10 Mbps,y,37 bulan
875,KI1555,10 Mbps,y,37 bulan
876,KI1558,10 Mbps,y,37 bulan
877,KM1102,5 Mbps,n,37 bulan
878,KM1090,10 Mbps,y,37 bulan
879,KM1115,5 Mbps,y,37 bulan
880,MLG111,5 Mbps,y,37 bulan
881,KM1122,5 Mbps,y,37 bulan
882,KM1125,5 Mbps,y,37 bulan
883,KI1585,10 Mbps,y,37 bulan
884,KM1126,5 Mbps,y,37 bulan
885,KI1581,15 Mbps,y,37 bulan
886,KM1132,5 Mbps,y,37 bulan
887,KI1595,5 Mbps,y,37 bulan
888,KI1599,10 Mbps,y,37 bulan
889,KM1146,5 Mbps,y,36 bulan
890,KM1142,5 Mbps,y,36 bulan
891,KM1149,5 Mbps,n,36 bulan
892,KM1151,5 Mbps,y,36 bulan
893,KJ2421,10 Mbps,n,36 bulan
894,KM1155,10 Mbps,n,36 bulan
895,KM1160,10 Mbps,y,36 bulan
896,KJ2423,10 Mbps,n,36 bulan
897,KM1131,5 Mbps,y,36 bulan
898,KM1144,5 Mbps,y,36 bulan
899,KM1162,5 Mbps,y,36 bulan
900,KJ2431,10 Mbps,y,36 bulan
901,KJ2435,5 Mbps,y,36 bulan
902,KJ2436,10 Mbps,y,36 bulan
903,KI1624,10 Mbps,y,36 bulan
904,KM1175,5 Mbps,y,36 bulan
905,KD0011,10 Mbps,n,36 bulan
906,KI1628,10 Mbps,y,36 bulan
907,KM1176,10 Mbps,y,36 bulan
908,KI1629,5 Mbps,y,36 bulan
909,KI1630,11 Mbps,y,36 bulan
910,KM1183,11 Mbps,y,36 bulan
911,KM1182,5 Mbps,n,36 bulan
912,KM1191,10 Mbps,y,36 bulan
913,KI1639,10 Mbps,y,36 bulan
914,KM1192,5 Mbps,n,36 bulan
915,KM1194,5 Mbps,y,36 bulan
916,KM1199,10 Mbps,y,36 bulan
917,KM1141,5 Mbps,y,36 bulan
918,KM1209,5 Mbps,y,35 bulan
919,KM1213,5 Mbps,y,35 bulan
920,KI1653,5 Mbps,y,35 bulan
921,KM1214,15 Mbps,n,35 bulan
922,KI1654,10 Mbps,y,35 bulan
923,KI1657,5 Mbps,y,35 bulan
924,KI1655,5 Mbps,y,35 bulan
925,KJ2465,10 Mbps,y,35 bulan
926,KI1659,10 Mbps,n,35 bulan
927,KD0024,10 Mbps,y,35 bulan
928,KJ2471,10 Mbps,y,35 bulan
929,KM1230,5 Mbps,y,35 bulan
930,KJ2473,15 Mbps,y,35 bulan
931,KD0026,5 Mbps,y,35 bulan
932,KM1237,5 Mbps,y,35 bulan
933,KM1232,5 Mbps,y,35 bulan
934,KM1239,10 Mbps,y,35 bulan
935,KM1243,5 Mbps,y,35 bulan
936,KD0031,10 Mbps,y,35 bulan
937,KM1250,5 Mbps,y,35 bulan
938,KJ2482,10 Mbps,y,35 bulan
939,KJ2484,5 Mbps,y,35 bulan
940,KM1247,5 Mbps,y,35 bulan
941,KM1257,5 Mbps,y,35 bulan
942,KJ2487,10 Mbps,y,35 bulan
943,KJ2488,10 Mbps,y,35 bulan
944,KM1258,5 Mbps,y,35 bulan
945,KI1680,5 Mbps,n,35 bulan
946,KM1260,5 Mbps,n,35 bulan
947,KJ2483,5 Mbps,y,35 bulan
948,KM1263,15 Mbps,y,35 bulan
949,KI1687,5 Mbps,y,35 bulan
950,KI1686,5 Mbps,y,35 bulan
951,KJ2502,10 Mbps,y,35 bulan
952,KD0035,10 Mbps,y,35 bulan
953,KM1279,10 Mbps,y,35 bulan
954,KD0041,5 Mbps,y,34 bulan
955,KI1694,10 Mbps,y,34 bulan
956,KM1282,10 Mbps,y,34 bulan
957,KM1291,10 Mbps,y,34 bulan
958,KM1290,5 Mbps,y,34 bulan
959,KD0043,10 Mbps,y,34 bulan
960,KM1293,5 Mbps,y,34 bulan
961,KI1699,10 Mbps,y,34 bulan
962,KM1298,5 Mbps,y,34 bulan
963,KM1303,10 Mbps,y,34 bulan
964,KM1301,10 Mbps,y,34 bulan
965,KM1306,5 Mbps,n,34 bulan
966,KM1309,5 Mbps,y,34 bulan
967,KM1310,5 Mbps,y,34 bulan
968,KD0044,5 Mbps,y,34 bulan
969,KI1700,15 Mbps,y,34 bulan
970,KN0046,10 Mbps,y,34 bulan
971,KI1711,10 Mbps,y,34 bulan
972,KT0013,5 Mbps,n,34 bulan
973,KM1302,10 Mbps,y,34 bulan
974,KM1323,10 Mbps,y,34 bulan
975,KM1325,10 Mbps,y,34 bulan
976,KT0016,5 Mbps,n,34 bulan
977,KM1330,5 Mbps,n,34 bulan
978,KM1333,10 Mbps,y,34 bulan
979,KM1337,5 Mbps,y,34 bulan
980,KD0058,5 Mbps,y,34 bulan
981,KD0054,5 Mbps,y,34 bulan
982,KM1340,20 Mbps,n,34 bulan
983,KT0023,10 Mbps,y,34 bulan
984,KD0057,10 Mbps,y,34 bulan
985,KI1725,10 Mbps,y,34 bulan
986,KI1727,5 Mbps,y,34 bulan
987,KD0048,10 Mbps,y,34 bulan
988,KT0027,10 Mbps,y,34 bulan
989,KM1352,5 Mbps,y,34 bulan
990,KM1357,5 Mbps,y,34 bulan
991,KM1378,5 Mbps,y,34 bulan
992,KM1377,5 Mbps,y,34 bulan
993,KM1376,5 Mbps,y,34 bulan
994,KT0043,5 Mbps,y,33 bulan
995,KM1385,5 Mbps,n,33 bulan
996,KD0074,10 Mbps,y,33 bulan
997,KI1735,10 Mbps,y,33 bulan
998,KD0075,5 Mbps,y,33 bulan
999,KI1737,5 Mbps,y,33 bulan
1000,KM1393,5 Mbps,y,33 bulan
1001,KT0049,10 Mbps,y,33 bulan
1002,KM1394,5 Mbps,y,33 bulan
1003,KI1738,10 Mbps,y,33 bulan
1004,KM1397,5 Mbps,y,33 bulan
1005,KI1742,5 Mbps,y,33 bulan
1006,KT0056,10 Mbps,n,33 bulan
1007,KM1403,5 Mbps,y,33 bulan
1008,KM1409,5 Mbps,y,33 bulan
1009,KM1406,5 Mbps,y,33 bulan
1010,KM1411,5 Mbps,y,33 bulan
1011,KM1408,5 Mbps,y,33 bulan
1012,KI1750,5 Mbps,y,33 bulan
1013,KI1749,10 Mbps,y,33 bulan
1014,KT0061,5 Mbps,y,33 bulan
1015,KI1753,5 Mbps,y,33 bulan
1016,KN0047,10 Mbps,y,33 bulan
1017,KN0048,5 Mbps,y,33 bulan
1018,KD0096,5 Mbps,y,33 bulan
1019,KM1430,5 Mbps,y,33 bulan
1020,KT0066,10 Mbps,y,33 bulan
1021,KM1431,10 Mbps,n,33 bulan
1022,KM1434,10 Mbps,y,33 bulan
1023,KD0101,5 Mbps,y,33 bulan
1024,KM1438,5 Mbps,y,33 bulan
1025,KI1758,10 Mbps,y,33 bulan
1026,KM1439,10 Mbps,n,33 bulan
1027,KM1440,10 Mbps,y,33 bulan
1028,KM1441,5 Mbps,y,33 bulan
1029,KM1449,10 Mbps,y,33 bulan
1030,KT0074,10 Mbps,y,33 bulan
1031,KI1762,10 Mbps,y,33 bulan
1032,KM1458,5 Mbps,y,33 bulan
1033,KM1455,5 Mbps,y,33 bulan
1034,KM1464,10 Mbps,y,33 bulan
1035,KM1468,10 Mbps,y,33 bulan
1036,KT0079,15 Mbps,y,33 bulan
1037,KM1470,5 Mbps,y,33 bulan
1038,KI1766,10 Mbps,y,33 bulan
1039,KD0111,5 Mbps,y,33 bulan
1040,KM1478,5 Mbps,y,32 bulan
1041,KM1446,10 Mbps,y,32 bulan
1042,KM1481,10 Mbps,y,32 bulan
1043,KM1483,5 Mbps,y,32 bulan
1044,KD0113,5 Mbps,y,32 bulan
1045,KM1486,5 Mbps,y,32 bulan
1046,KM1487,10 Mbps,y,32 bulan
1047,KM1489,5 Mbps,y,32 bulan
1048,KM1488,5 Mbps,y,32 bulan
1049,KD0116,5 Mbps,y,32 bulan
1050,KI1779,5 Mbps,y,32 bulan
1051,KM1492,5 Mbps,y,32 bulan
1052,KD0099,5 Mbps,n,32 bulan
1053,KT0086,5 Mbps,y,32 bulan
1054,KD0122,5 Mbps,y,32 bulan
1055,KD0123,5 Mbps,y,32 bulan
1056,KM1497,5 Mbps,n,32 bulan
1057,KD0125,10 Mbps,y,32 bulan
1058,KT0093,10 Mbps,y,32 bulan
1059,KM1500,10 Mbps,y,32 bulan
1060,KT0092,5 Mbps,y,32 bulan
1061,KM1509,5 Mbps,y,32 bulan
1062,KT0095,5 Mbps,y,32 bulan
1063,KN0050,5 Mbps,y,32 bulan
1064,KM1510,5 Mbps,y,32 bulan
1065,KT0101,5 Mbps,y,32 bulan
1066,KI1792,5 Mbps,y,32 bulan
1067,KM1517,5 Mbps,y,32 bulan
1068,KM1519,10 Mbps,y,32 bulan
1069,KD0137,10 Mbps,y,32 bulan
1070,KM1520,10 Mbps,y,32 bulan
1071,KD0135,15 Mbps,y,32 bulan
1072,KM1522,10 Mbps,y,32 bulan
1073,KM1515,10 Mbps,y,32 bulan
1074,KT0109,5 Mbps,y,32 bulan
1075,KI1798,5 Mbps,y,32 bulan
1076,KM1530,5 Mbps,y,32 bulan
1077,KM1533,5 Mbps,y,32 bulan
1078,KT0112,10 Mbps,y,32 bulan
1079,KM1535,5 Mbps,y,32 bulan
1080,KM1531,5 Mbps,y,32 bulan
1081,KM1529,5 Mbps,y,32 bulan
1082,KI1796,5 Mbps,y,32 bulan
1083,KM1542,5 Mbps,y,32 bulan
1084,KM1543,10 Mbps,n,32 bulan
1085,KM1544,5 Mbps,n,32 bulan
1086,KT0120,5 Mbps,y,32 bulan
1087,KM1545,5 Mbps,y,32 bulan
1088,KT0121,10 Mbps,y,31 bulan
1089,KM1548,5 Mbps,y,31 bulan
1090,KI1808,10 Mbps,y,31 bulan
1091,KI1809,10 Mbps,y,31 bulan
1092,KM1549,5 Mbps,y,31 bulan
1093,KD0142,10 Mbps,y,31 bulan
1094,KI1811,5 Mbps,y,31 bulan
1095,KM1537,5 Mbps,y,31 bulan
1096,KM1555,5 Mbps,y,31 bulan
1097,KI1814,10 Mbps,y,31 bulan
1098,KD0150,5 Mbps,y,31 bulan
1099,KI1813,10 Mbps,y,31 bulan
1100,KM1561,10 Mbps,n,31 bulan
1101,KT0130,5 Mbps,y,31 bulan
1102,KM1563,5 Mbps,y,31 bulan
1103,KI1815,5 Mbps,y,31 bulan
1104,KI1818,10 Mbps,y,31 bulan
1105,KM1572,10 Mbps,y,31 bulan
1106,KM1576,5 Mbps,y,31 bulan
1107,KI1825,5 Mbps,y,31 bulan
1108,KD0153,5 Mbps,y,31 bulan
1109,KD0154,5 Mbps,y,31 bulan
1110,KT0145,5 Mbps,y,31 bulan
1111,KD0158,5 Mbps,y,31 bulan
1112,KM1588,5 Mbps,y,31 bulan
1113,KI1829,5 Mbps,y,31 bulan
1114,KI1827,5 Mbps,y,31 bulan
1115,KT0140,10 Mbps,y,31 bulan
1116,KD0160,5 Mbps,y,31 bulan
1117,KM1590,5 Mbps,y,31 bulan
1118,KM1596,10 Mbps,y,31 bulan
1119,KD0157,10 Mbps,y,31 bulan
1120,KD0163,5 Mbps,y,31 bulan
1121,KI1834,10 Mbps,n,31 bulan
1122,KD0165,5 Mbps,y,31 bulan
1123,KT0153,10 Mbps,y,31 bulan
1124,KT0151,10 Mbps,y,31 bulan
1125,KM1605,10 Mbps,y,31 bulan
1126,KM1609,5 Mbps,y,31 bulan
1127,KM1610,10 Mbps,y,31 bulan
1128,KI1837,5 Mbps,y,31 bulan
1129,KM1619,5 Mbps,y,31 bulan
1130,KI1847,5 Mbps,y,31 bulan
1131,KI1855,10 Mbps,y,30 bulan
1132,KT0162,5 Mbps,y,30 bulan
1133,KM1628,5 Mbps,y,30 bulan
1134,KM1631,10 Mbps,y,30 bulan
1135,KD0179,5 Mbps,y,30 bulan
1136,KD0181,5 Mbps,y,30 bulan
1137,KT0167,10 Mbps,y,30 bulan
1138,JT0002,10 Mbps,y,30 bulan
1139,KM1650,5 Mbps,y,30 bulan
1140,KM1653,5 Mbps,y,30 bulan
1141,KM1657,5 Mbps,y,30 bulan
1142,KM1661,5 Mbps,y,30 bulan
1143,KD0192,5 Mbps,y,30 bulan
1144,KT0172,10 Mbps,y,30 bulan
1145,KD0198,5 Mbps,y,30 bulan
1146,KM1662,5 Mbps,y,30 bulan
1147,KI1870,10 Mbps,y,30 bulan
1148,KM1669,5 Mbps,y,30 bulan
1149,KM1667,5 Mbps,y,30 bulan
1150,KD0200,5 Mbps,y,30 bulan
1151,KM1683,5 Mbps,y,30 bulan
1152,KT0176,10 Mbps,y,30 bulan
1153,JT0004,5 Mbps,y,30 bulan
1154,KI1891,5 Mbps,y,30 bulan
1155,KT0186,10 Mbps,y,30 bulan
1156,KI1887,15 Mbps,y,30 bulan
1157,KM1690,10 Mbps,y,30 bulan
1158,KM1697,5 Mbps,y,29 bulan
1159,KT0199,5 Mbps,y,29 bulan
1160,KM1698,10 Mbps,y,29 bulan
1161,KM1700,5 Mbps,y,29 bulan
1162,KM1701,5 Mbps,y,29 bulan
1163,KM1703,10 Mbps,y,29 bulan
1164,KI1897,10 Mbps,y,29 bulan
1165,KM1708,5 Mbps,y,29 bulan
1166,KT0209,5 Mbps,n,29 bulan
1167,KT0206,10 Mbps,y,29 bulan
1168,KT0215,10 Mbps,n,29 bulan
1169,KD0219,5 Mbps,n,29 bulan
1170,KT0220,10 Mbps,y,29 bulan
1171,KM1720,5 Mbps,y,29 bulan
1172,KI1908,10 Mbps,y,29 bulan
1173,KD0208,15 Mbps,y,29 bulan
1174,KM1722,5 Mbps,y,29 bulan
1175,KT0221,5 Mbps,n,29 bulan
1176,KD0216,10 Mbps,y,29 bulan
1177,KM1725,10 Mbps,y,29 bulan
1178,KI1913,10 Mbps,y,29 bulan
1179,KT0212,10 Mbps,y,29 bulan
1180,KM1726,5 Mbps,y,29 bulan
1181,KM1688,10 Mbps,y,29 bulan
1182,KT0229,5 Mbps,y,29 bulan
1183,KM1727,5 Mbps,y,29 bulan
1184,KT0232,5 Mbps,y,29 bulan
1185,KM1731,10 Mbps,y,29 bulan
1186,KI1755,5 Mbps,y,29 bulan
1187,KT0230,10 Mbps,y,29 bulan
1188,KT0233,5 Mbps,y,29 bulan
1189,KI1918,15 Mbps,y,29 bulan
1190,KM1740,5 Mbps,y,29 bulan
1191,KT0235,5 Mbps,y,29 bulan
1192,KT0240,10 Mbps,y,29 bulan
1193,KI1919,10 Mbps,y,29 bulan
1194,KD0232,5 Mbps,y,29 bulan
1195,KM1746,5 Mbps,y,29 bulan
1196,KM1750,15 Mbps,y,29 bulan
1197,KD0234,5 Mbps,y,29 bulan
1198,KD0229,5 Mbps,y,29 bulan
1199,KM1755,5 Mbps,y,29 bulan
1200,KT0244,5 Mbps,y,29 bulan
1201,KI1927,5 Mbps,y,29 bulan
1202,KM1765,5 Mbps,y,29 bulan
1203,KI1928,10 Mbps,y,29 bulan
1204,KM1761,10 Mbps,y,29 bulan
1205,KM1767,5 Mbps,y,29 bulan
1206,KD0237,5 Mbps,y,29 bulan
1207,KT0260,10 Mbps,y,29 bulan
1208,KM1771,5 Mbps,y,29 bulan
1209,KM1780,15 Mbps,y,29 bulan
1210,KI1931,5 Mbps,y,29 bulan
1211,KM1773,5 Mbps,y,29 bulan
1212,KM1778,10 Mbps,l,29 bulan
1213,KD0244,5 Mbps,y,29 bulan
1214,KM1779,5 Mbps,y,29 bulan
1215,KM1783,5 Mbps,y,29 bulan
1216,KT0264,5 Mbps,y,28 bulan
1217,KM1789,10 Mbps,y,28 bulan
1218,KT0263,10 Mbps,y,28 bulan
1219,KM1790,10 Mbps,n,28 bulan
1220,KD0247,10 Mbps,y,28 bulan
1221,KM1793,5 Mbps,y,28 bulan
1222,KD0246,5 Mbps,y,28 bulan
1223,KT0267,5 Mbps,y,28 bulan
1224,KD0241,5 Mbps,y,28 bulan
1225,KT0268,15 Mbps,n,28 bulan
1226,KI1937,10 Mbps,y,28 bulan
1227,KD0254,5 Mbps,y,28 bulan
1228,KM1802,5 Mbps,y,28 bulan
1229,KI1939,5 Mbps,y,28 bulan
1230,KI1941,10 Mbps,y,28 bulan
1231,KD0253,10 Mbps,y,28 bulan
1232,JT0022,5 Mbps,y,28 bulan
1233,KM1810,10 Mbps,y,28 bulan
1234,KM1800,10 Mbps,y,28 bulan
1235,KM1809,5 Mbps,y,28 bulan
1236,KI1944,15 Mbps,y,28 bulan
1237,KM1814,10 Mbps,y,28 bulan
1238,KT0277,10 Mbps,y,28 bulan
1239,KM1815,5 Mbps,y,28 bulan
1240,KT0278,10 Mbps,y,28 bulan
