message,kode_user
selamat malam kak,
ini promonya masih ada?,
Brrt kalo misal blm tgl masa aktif itu untuk melakukan pembayaran otomatis Ndak bisa ya?,KJ2081
Meskipun pemakaiannya Uda hbis?,KJ2081
"Terima kasih sudah menghubungi Omah Kos 37. Mohon ditunggu, kami akan membalas pesan anda secepatnya.","KJ0704, KJ0804, KJ0798"
Pk menu virtual account di mbanking BcA,KD1153
"Terima kasih sudah menghubungi Omah Kos 37. Apa ada yang bisa kami bantu? Untuk fasilitas bersama, kami menyediakan dapur di setiap lantai, tempat jemuran, parkir motor yang luas, dan rooftop. Untuk keamanannya, kami memasang CCTV 24 jam dan ada penjaga kos. Dengan pembarayan minimal 3 bulan, bisa mendapatkan kasur baru dan dinding kamar di cat baru. Selain biaya sewa kamar, penghuni kos akan dikenakan iuran per bulan sebesar Rp 25.000,- untuk wifi dan sebesar Rp 25.000,- untuk token listrik.","KJ0704, KJ0804, KJ0798"
Belum bisa mas,KT1109
Kak ini kok pembayaran di indomaret kok gabisa,KM1727
Kl upgrade sekarang jd sy bayar ulang atau bgmn kak?,KJ2307
Terima kasih 🙏,KT0798
Kenapa jaringan masih sering down?,JT0183
Kak maaf lewat briva aja,"KP1066, KP1078"
Bantu apdeit  wafi nya,KT1109
Saya mau ganti sandi,KT1109
Untuk virtual account nya pake yg bulan lalu brrt?,KJ2081
Sudah tak restart kak... akhirnya sudah nyambung lagi,KJ2081
Terima kasih banyak🙏🏻,KJ2081
Ini kenapa ya wifi tiap dekat2 hari pembayaran mesti lemot ya,JT1042
Masak tiap bulan saya harus komplen terus,JT1042
Yg d indo Mart aja boooozzz🙏🙏🙏,KP1632
Oh baik kak terimakasih,JT0183
Kalau TF kemana kak,
Maaf kak  sy td tepatin janji 🙏tapi kmi akn passang kak krna kmi sgtt butuh  sekli😌....  Sy sda dftr semua tpi pngruh keyboard hp eror jdi td visa ksi masukn e-mail... Jdi hrs pke hp temn,
Iy kak 🙏,
Sudah bs mbak,KM3715
Kak sy mau upgrade ke 15mbps bisa ?,KJ2307
Pembayaran lewat alfa Mart/ indomart,KP1632
ITu kak but huruf Kecil nggk bisa,
Ok kak besok bru aku coba,
"Selamat mlm kk, sy atas nama Maria Fatima Luruk klau Mau minta nomor akun virtual, soalnya wifi sdh habis",
ID Pelanggan: Kt 2013,
Trimakasih banyak kak🙏,
Tdk ad kak🙏,
Kak kami mau turunin Mbps nya dri 10 ke 5,
yang harga 130 Mb kak,
"baik kak,120 ribu",
iya bener kak,KI3307
halo min mau tanya kenapa akhir akhir ini jatim wifi tidak stabil? sehingga menyebabkan pekerjaan kami sedikit terganggu,KI3307
"suka lemot min, mohon bantuannya🙏🏻",KI3307
Done ya kak,KT1311
hampir semua akses kak,KI3307
Belum perna kak,
Biasanya ndaak bisa a,KD1131
"sudah pasang kak, cuman mau tanya aja promo ini masih ada gak?",
Flat ga harganya,
Kak itu pake bri,KD1131
bulan depan bisa gak kak saya pilih paket ini?,
Mbk sy mau bayar wfi minta VA BRI,KT0785
Tak bayar dibri biasanya ya,KD1131
daerah ini ada gak kak?,
sementara masi aman kak,KI3307
Samaaja kan ya,KD1131
Iya biasanya pake yg bri,KD1131
Jangan diybah2 bingung saya nanti,KD1131
Pake ini biasanya,KD1131
muhammad haykal basier,
Kok ganti lagi,KD1131
Ditunggu ya ka,
"Saya dapat info dari iklan, Ada Promo apa saja?",
kalau aktifkan turbo tidak menjadi persoalan to kak?,KI3323
Terimakasih  Sdh paham. 👍🇮🇩,KT0361
Kenapa sya transfer kok gak bisa,KD1132
Belum di  ganti kynya,KT1109
Ya bener kak,KJ1242
Blm ada kak,
Assalamu'alaikum... Mas Kate masang waifi,KP2364
Pakai rek BRI bisa nggak ?,KD1132
Bayar kmn ya,
Minta rekenninng BRi. Gzakbisa bca trim,JT0710
Kak kok masih gak bisa wifi nya,KD1221
Sy ma bayar wfi mbk minta nomer virtual acunt BANK BRI,KT0785
"Halo, dengan Amanda Customer Service Layanan Internet Kapten Naratel. Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: BINTINGAN Kelurahan: BUGUL KIDOL Share location: Tahu Kapten Naratel darimana: DARI TETANGGA    Terima kasih 😊",KP2364
Iya kak kdang conect kdang reconext,JT0183
Kak mohon di bantu ini mau bayar tagihan kok tidak bisa ya,
Tidak ada konfirmasi tagihan dan saya bayar melalui VA BCA nomer nya tidak valid,
Ini internet saya off kak,
"Kak sudah bisa, mohon di bantu untuk mengaktifkan kembali ya kak",
Bayar lewat briva bisa kak,"KP1066, KP1078"
"Alamat, bintingan Kecamatan, bugul kidol",KP2364
"Oke kak,Terimakasih kak sudah di bantu🙏🏻",
Tak tunggu rekening bri aku mau bayar trim,JT0710
"Nama pemasang, usman",KP2364
Apa sudah masuk genitri,
Rt 01 rw 06,KP2364
Sdh lunas semua ya. Kak,"JT0760, JT0773"
"Tunai Saat Pemasangan aja kak, bisa ya?",
"Halo, dengan Amanda Customer Service Layanan Internet Kapten Naratel. Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: usaman bintingan rt 01 rw 06 Kelurahan: bugul kidul Share location: Tahu Kapten Naratel darimana:  tetangga    Terima kasih 😊",KP2364
assalamualaikum kak saya barusan pembayaran wifi pagi ini tapi jaring internet masih belum terkoneksi 🙏🏼🙏🏼🙏🏼,KT1941
"Kita"" Di pasng y kak",KP2364
"Kira""di pasang kapan y kak",KP2364
pagi ini ada kunjungan..apakah betul ada program ini,KM2796
Jam 9y kak,KP2364
Jln ir. h. Juanda no 04.dsn bintingan rt 1 rw 6,KP2364
Bagaimana promo nya,
Hrga dan speed,
Sudah terkonek LG kak. Td smpat terputus🙏🏻,KP1989
Saya bicarakan dulu dengan suami ya,
"baik kak, untuk no rekeningnya boleh di kirim🙏",
"Hallo, kak saya, sudah isi yaaa",KT1245
Mohon bantuannya. mintak no pembayaran ke Indomaret. Atas nama mayanto,KI2553
"Halo Kak dengan Ira Customer Service layanan internet Kapten Naratel☺  Kami ingin mengkonfirmasi terkait kelanjutan layanan internetnya. Berdasarkan data kami :  ID Pelanggan : KP0365 Nama : Slamet Rianto  Internet kakak sudah termonitoring tidak aktif selama 1 hari  Mohon segera konfirmasi untuk layanan internet di perpanjang atau bagaimana?  Kami juga menginformasikan peraturan perusahaan terkait libur berlangganan maksimal selama 1 bulan sejak berakhirnya masa aktif. Jika lebih dari itu, maka sistem secara otomatis merubah status berlangganan menjadi BERHENTI BERLANGGANAN.  Nomor ini hanya untuk mengirimkan notifikasi jatuh tempo, jika membutuhkan informasi terkait Kapten Naratel mohon konfirmasi ke Customer Service kami di ‪📱‪‪‪+62 882-1202-2222‬‬‬  Terima kasih🙏🏻",
Saya mau bayar itu,
Pakai kode apa,
5 Mbps kk,KP2364
Minta kode briva min,KT1352
Gak ngerti saya,KI2553
Kak metode pembayaran bri yang mana,KI1398
"Saya dapat info dari iklan, Ada paket apa saja?",
Mau bayar yang ini kok gak bisa,"KI1629, KI2174, KI2424"
Info paket kak,
Oalah berarti ndak sama kYak di iklan ya kak hargany 🙏,
Lah ini kok beda kak,
HP 3 mb. Yg 2 ank e d pesantren klau pulangan aja megang hp,KP2364
Jadi yg 5 mbps,KP2364
"Aman kak, sudah terbayar barusan",KT1352
"halo, mau melanjutkan yg kemarin",
pakai modem ini apa bisa?,
hr minggu bisa dipasang?,
Yg BRI ada ?,KM1199
Pembayaran via bri ada,KD0153
"Saya dapat info dari iklan, Ada paket apa saja?",
"Dear Sobat Kapten,  ID Pelanggan: KI1629 Nama: Deva Jaya Sethiawan Paket: 5 Mbps Jatuh Tempo: 01 Oktober 2025 Total Tagihan: Rp 123.000 (sudah termasuk ppn dan biaya layanan) Nomor VA BCA: 1541200000 0000005286 (hanya dapat dibayar melalui rekening Bank BCA)  Note: 1. Jika membutuhkan metode pembayaran lain (Alfamart, Indomaret, atau bank lain), silakan instal aplikasi Kapten Naratel. 2. Per September 2025, seluruh notifikasi akan dikirimkan melalui aplikasi dan tidak lagi melalui WhatsApp. 3. Nomor VA BCA tetap tidak berubah setiap bulan.  Unduh aplikasi Kapten Naratel di Play Store:  https://play.google.com/store/apps/details?id=com.kaptennaratel.app  Panduan instalasi aplikasi:  https://youtube.com/shorts/pDNGBPZ0Avk  Panduan pembayaran melalui aplikasi:  https://youtube.com/shorts/NWGcaaD5_Eo?feature=share  Apabila mengalami kendala instalasi atau pembayaran,  silakan hubungi Customer Service Kapten Naratel ☎ +62 882-1202-2222  Terima kasih 🙏🏻","KI1629, KI2174, KI2424"
Brti bulan depan harus up mbps nya ya kak?,JT0183
Belum kak in saya buka apk nya,JT0183
Probolinggo bisa kak,
Di appstore ga adaaa,KI1398
Oalah ada batasan ya kak,
"Untuk pmakaian prangkat di tambah apa bisa kak,sett tambah perangkat",
"Dear Sobat Kapten,  ID Pelanggan: KI1398 Nama: Muhammad Habil Ilhami Paket: 10 Mbps Jatuh Tempo: 10 Oktober 2025 Total Tagihan: Rp 178.000 (sudah termasuk ppn dan biaya layanan) Nomor VA BCA: 1541200000 0000004663 (hanya dapat dibayar melalui rekening Bank BCA)  Note: 1. Jika membutuhkan metode pembayaran lain (Alfamart, Indomaret, atau bank lain), silakan instal aplikasi Kapten Naratel. 2. Per September 2025, seluruh notifikasi akan dikirimkan melalui aplikasi dan tidak lagi melalui WhatsApp. 3. Nomor VA BCA tetap tidak berubah setiap bulan.  Unduh aplikasi Kapten Naratel di Play Store:  https://play.google.com/store/apps/details?id=com.kaptennaratel.app  Panduan instalasi aplikasi:  https://youtube.com/shorts/pDNGBPZ0Avk  Panduan pembayaran melalui aplikasi:  https://youtube.com/shorts/NWGcaaD5_Eo?feature=share  Apabila mengalami kendala instalasi atau pembayaran,  silakan hubungi Customer Service Kapten Naratel ☎ +62 882-1202-2222  Terima kasih 🙏🏻",KI1398
Selamat pagi pembayaran mandiri,KM1250
Metode pembayaran e ini di isi apa ya,KP2364
Tolong kasih d mandiri aja,KM1250
Soal e kan kes,KP2364
Pembayaran wifi kp 1084 atas nama agung rahmadhani,KP1084
"Saya dapat info dari iklan, Ada paket apa saja?",
Ini t mb,KP2364
"Kak, mohon maaf atas nama Pramita rooter nya tidak bisa nyala",KM0930
haloo kak wifinya gabisa,
nomor tagihan wifinya maksudnya kak?,
Sudah kk Terima ksh,KP2364
Tidak bisa menyala kak,KM0930
"Sudah kak, tapi tidak bisa menyala",KM0930
"Saya dapat info dari iklan, Ada Promo apa saja?",
Perdana pakai aplikasi naratel,KM0251
"Pagi, mau menanyakan apa betul ini bagian dari kapten naratel ya ?",
Sebentar y mbak,KM0930
Untuk mbak mella...itu,KM0251
saya kurang paham kak,
"Okdeh kak mksih, yaaa 🙏",KT1245
Ini wifinya mati kak 🙏,KT1245
Sudah kak terima kasih,KP1989
Wifinya gangguan ya min?,KT1943
Baik kak 🙏,KT1245
"Saya dapat info dari iklan, Ada Promo apa saja?",
"Dengan saya bagus kak, kab Malang",
"Promo bulan ini kak, ada apa saja",
Virtual account bank BCA,"KI1629, KI2174, KI2424"
Namanya di ketik gaada,KM1727
maksudnya transfer kak,
"halo Kapten Naratel, kenapa jaringan ditempat kami sering nyandet?",KM0459
Gmna kak sudah kah?,KT1245
Sinyale sering lemot gak kayak dulu baru pasang,KM1011
Sudah kak cukup terimakaih,JT0183
yang bisa hanya tiktok saja,JT1060
apps lainnya tidak bisa,JT1060
sudah saya restart routernya 3 kali,JT1060
"Assalaamu'alaikum Kapten, bisa tolong berikan informasi tentang layanan internetnya?",
Sudah ya kak,KM1727
Untuk passwordnya bagaimana?,KM0817
Bisa bayar ke bank lain kah? Ga bisa ke bca,KI3305
Boleh kirim no virtual sama nominalnya kk,
Ada tulisan tagihan kadaluarsa,KJ0767
Kemarin juga gitu,KD0568
No internet tulisannya,KD0568
Ini bedanya apa pak?,
"Nama : Binsar No hp : 082261298854 Alamat : Jalan Karyawiguna, Kel. Tegalgondo, Kec. Karangploso, Kab. Malang Tahu Kapten Naratel dari teman",
Sudah byr yaa atas nm fahmiludin junaedi,
Sudah byr yaa atas nm fahmiludin junaedi k10235,
"sebagian wilayah dikota malang sudah bisa kak namun untuk lebih memastikan titik lokasinya bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Nama, nomor telfon: Gagang, 081556711133 Alamat Pemasangan: Mhouse H6 Araya Kelurahan: Genitri Share location: Tahu Kapten Naratel darimana: saudara    Terima kasih 😊",
jl raya ampeldento gg1 apa bisa cover area nya,
Oke kak done,
Masih belum konek,KP1231
Baik kak  Terimakasih,KT2023
Kaka mau tnya bisa ganti sandi ngk ?,KT2023
"di 2 device sama sama tidak bisa, perlu dipancing pakai data seluler dulu",JT1186
Yang no mana,KP1231
ini saya masih diluar,KT0685
Kalau ingin mengganti metode pembayaran bagaimana?,KI2912
Slamat malam.kak  Kak ini saya mau bayar lewat indomaret cara nya gomana saya gk ngerti,KT1205
Cara bayar wifi lewat bca bagaimana?,
Kalau bisa transfer rekening pakai CIMB,KI2912
Pagi jam 9,JT0908
Baik kak terima kasih ya,
Oiya kak  Klo pencabutan ada tambah biaya lagi?,KT2134
Kedaluwarsa katanya kak,
Kemaren2 g pernah begitu kok,
Sekarang2 aja selalu seperti itu,
Tiap minggu kok suruh ngomel customer nya,JT0086
Kak mohon direspon,
Masak iya sehari bisa berkali2 buka adaptor pasang lagi,
Jika masih sama aja Mhon maaf saya g mau memperpanjang lagi,
Di rumah cuma pakai saat ini cuma saya aja,"KM0145, KM1809"
"Kak, mau tanya tagihan saya brp ya?!","KM0145, KM1809"
Soalnya yg Kmrin ke hapus,"KM0145, KM1809"
Masi blm bisa,JT0086
Jaringannya skrg kok sering lemot yaaa kak,"KM0145, KM1809"
"Yg tadi di aplikasi kapten, nyangkut di pembayaran tunai. Apakah saya bisa membayar langsung pake VA tanpa pembatalan?",KI2912
Soalnyaa udah mau selesai batas Waktunya,
Oke siap gpp kak🙏🙏,
Trus gmn udh blm,JT0086
Melalui alfamart ya kak,JT1046
"Mau tanya mas, untuk peningkatkan paket layanan apakah bisa?dari 10mbps",
Emang klo malang daerah mana aja,
"Iyah KK,, seterah , soalnya udah di tmpt pembayar hanya tunggu no sama nominalnya KK🙏",
Itu sdh sy Bayar Mas..,KD1153
Cara pembayarannya bgmn y? Apa lewat trasfer y?,KD1153
"Minta tolong kak, wifi nya dengan ID tersebut disconnect",JT1079
Minta tolong di cek an ya,JT1079
Sy lg diluar,"KM1191, KM1397"
Loh itu daerah pusat kota min,
Internet dirumah kami disconnect,KM1018
ID Pelanggan: JT0908,JT0908
Daerah JL JA Suprapto Gang 1 apa jaringan nya sudah ada ?,
Ok KK makasih,
Ini hrus skli pakai aplikasi ya kak?,KI2980
Bisa langsung dikirim aja va,KI2980
baik kak makasih yah,KT0448
Mau melakukan pembayaran kok gk bisa ya,KT1952
Kalo misal tanggal bayarnya diundur ke tgl 22 gimana ya. Menyesuaikan gajian.,KI2912
Ini ada ppn juga ternyata ya,KT2083
Kak apakah ada gangguan,KD0952
Selamat malam kak Saya customer atas nama joko selamet.dengan nomer JT 0339 baran gribig ingin melakukan pembayaran melalui dana mohon izin minta nomer rekeningnya🙏🏻🙏🏻🙏🏻,
"sudah minn ,apakah udah bisa di aktifkan lgi",KT2089
Mohon maaf kak saya belum bisa mengunduh apknya karna paket kuota terbatas soalany jaringan wifinya terputus karena belum melakukan pembayaran untuk sekarang saya hanya bisa melakukan transaksi melalui apk dana kak 🙏🏻🙏🏻,
Ok kalau begitu,KI2912
Lampu merah menyala,KD0952
Iya benar kak,
iya benar kak,JT0217
"Saya dapat info dari iklan, Ada paket apa saja?",
Melalui alfamart kk,
Kalo ngisi paket,KN0619
Sudah selesai kak😊Terimakasih🙏🏻🙏🏻,
Kak mau tanyak klau mau TF nomor rekening yg mana,KM2869
Va nya brp,
Oalah iya mas maaf,KM1018
Stb smart bisa bukak google chrome,KD1854
Dari bank bri ke bca bisa min?,KT1073
Mau upgrade 100mbps bayar langsung itu bisa?,KD1854
Ini kak y,KM2869
Ini pakai vpn ta,KD1854
Batas waktu ini kok tumben gak ada pemberitahuan dan tiba2 gak aktif wifi dirumah,"GJ0167, KJ2140"
Ka ini kirim kemana,KN0619
saya ke superstar bisa?,GJ0019
Saya mau bayar gabisa,KN0551
Saya mau bayar tpi kodepembayar virtual kadaluarsa,KN0551
Kok tumben gak ada pemberitahuan waktunya bayar dan tiba2 lgsg gak aktif wifi di rumah,"GJ0167, KJ2140"
"Nama, nomor telfon : Syarif, 089676226046 Alamat : Jln. Candi Agung IV nomer 37 Kelurahan : Mojolangu Share Location : Lagi keluar Tahu Kapten : Dari ig",
Bayarnya lewat bank BRI bisa,KT1073
Nanti aku konfirmasi,
Sdh msuk kak,KM2869
kak bisa naikin sekalian,KP2279
Iya benar kak,
TF sdh msk kak,KM2869
kalau yang ini ada kak?,
Maaf saya mau tanya tagihan internet saya,KD1785
Ok siap terimakasih,KT0109
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊    Nama/No WA: Ulil/082233629442 Alamat Pemasangan: Perum De Syahada bocek Kelurahan: Bocek Share location:   Terima kasih 😊",
Modem nya udah AQ matikan dan nyalakan  kembali tetep saja gak bisa,KI2850
Iya kak nyala lampu indikatornya merah,KI2850
"Ini  wifi ditempat kami ada sinyal tp tidak ada internet dan di alat yg dirmh itu kedip"" Merah",KI2697
Tlg disegerakan ya kak krn saluran internet kita utk kerja trima kasih,KI2697
"nah ini kak, di bandung sini saya makek ios",KP2279
Baik kak siap,KI2850
nah kan itu masa aktif sampai tanggal 29,KP2279
saya mau bayar dan sekalian naikkan,KP2279
Selamat pagi kak mau melaporkan kok wifi nya mulai kemarin error ya,KI2850
Iya bayar ke siapa,KN0619
dikirimkannya ke aplikasi kak?,KP2279
uda masuk gaa kak,JT0611
pencopotan modem kak hri ini ya,KM3789
Caranya gimana ka,KN0619
Hari ini apakah ada informasi mengenai maintenance lagi ya? Kenapa wifi saya menjadi LOS?,JT1125
"iyaa, udh dikonfirmasi kmrin",KM3789
hiPengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: KM3789 Nama: Muchamad Ivan Lukito Alasan Berhenti Berlangganan: Lagi banyaj kebutuhan rumah Jadwal Pengambilan Modem: 12 okt Jam: bebas Sharelocation:  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏,KM3789
Rumah saya di Jl. Mayjen Sungkono yang kemarin terkena dampak dari maintanance kare pembuatan jembatan baru,JT1125
Apakah melebihi dari waktu ini ya?,JT1125
"Sdh terbayar, internet mohon di aktifkan kembali ya",JT0542
tidak kk. Saya cuma memastikan aja,KM3789
"Rekening Internet Oktober 2025 sdh terbayar mohon di cek dan di aktifkan kembali, trims",JT0542
"Baik kak, estimasi sampai jam berapa kak ?",
Tri Kurniasih ( KM 2653 ),KM2653
kak mau bayar,
Sudh ya kak 🙏,KI0644
cara restat modemnya gimana?,KT1479
Oke kk trimakasih,KI0601
Kantor e buka ta kak hari ini yg di pasar warungdowo,
Hallo kak Apakah buka kantor nya hari ini,
Mohon maaf apa wifi trouble area tlogomas,GJ0039
saya mau melakukan pembayaran via BRI,JT0243
wifinya kok tidak bisa ya ?,KJ1155
Boleh sharelok nya kak,
Untuk yg 10 mbps,
SITI MAISAROH KT0799,KJ2487
Bank neo ka,KN0619
Haloo...kak . Internetnya masih belum bisa,
Bisa apa gak,KN0619
belum ya kak,JT0243
Iya tapi kok tagihannya Masih 178.000 ya,KM3007
jt0243 ya kak,JT0243
Mau nanya kak kalau 20mbps berapa ya kak,
Kok beda sama yg atas,KN0619
Merah di lampu LOSnya,JT1125
Tagihannya Masih tetep.,KM3007
Kak tolong wifinya tdk bisa tersambung,KD0687
Bisa mnta VA buat payment dari Bank Mandiri?,KT1659
"Iyah trimakasih KK,,,,",
Mana ya rekeningnya,JT0555
"Kak maaf Untuk pembayaran ID pelanggan baru sy KP2342 barusan sy TF kak lewat BSI ke BRI, sy kirim juga bukti Pembayarannya",
Di sebuku masih blm bisa psang kah kak,
Pagi kak apa kapten naratel sudah sampek ke gondang wetan,
Pasang wifi yg tiap bulannya 120K apa ada?,JT1204
"Halo, dengan Andri Customer Service Layanan Internet Kapten Naratel. Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Nama, nomor telfon:indri/081515909754 Alamat Pemasangan:jl sebuku  Kelurahan:bunulrejo  Share location: Tahu Kapten Naratel darimana:   iklan di jalan     Terima kasih 😊",
Mohon maaf kak Kalau yang 5 mbps maksimal berapa orang?,
Maaf Kak bisa tolong dibantu downgrade seperti paket awal saya yg 5mbps?🙏,"KD0758, KD0968"
ZTE F670L DUAL BAND 5G apa seperti ini ya kk?,KI0601
Hallo kapten naratel,
"Wifi masih blm dipasang kak, waktu pemasangan infonya jam 10",
Sudh bisa kak,KP1231
Pagi mau tanya klw mau mengganti password wifi gmn ya,KT0066
Kalo mau melakukan perpanjangan,KJ1462
Biasanya TF kak. Soalnya lewa aplikasi Kapten kok gagal 🙏,KJ1462
Dulu saudara saya baru pasang bayar bulan depannya 120K dan tidak ada tambahan biaya lain” apa benar?,JT1204
"Ilham Dwi Jalan Bandulan 8, perumdam V/Brw no 41 Bandulan",
Paket nya itu gimana kak,
Untuk server apakah sudah ada di perumahan graha indah krapyak ?,
Iya kakk pngn psang wifi ini,
Wifi masih belum bisa di rumah min,JT0046
ID Pelanggan: JT0046 Nama: Ariesandi Siswanto Paket: 10 Mbps,JT0046
Untuk saat ini sya msh menggunakan internet untuk chat saja,KM0972
Kmrn² untuk buka sosmed lumayan agak lama loudingnya,KM0972
Ini saya dapat info dari saudara saya di wilayah gedangsewu kedungrejo pakis malang,JT1204
Sudah bayar sudah aktif tp wifi tidak bisa,KM2681
Oke saya coba,KM2681
"permisi kak, ini kok jaringan wifi nya lemot ya, 3 hari yang lalu udah di restart dari modem nya",KN0504
Td malam bayar pakai brimo Ndak bisa,KD1698
Baik terima kasih min,JT0046
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Nama, nomor telfon: andika rahman 081235597997 Alamat Pemasangan: perumahan graha indah 3 blok AA 3 kelurahan krapyak rejo Share location: Tahu Kapten Naratel darimana: pamflet    Terima kasih 😊",
Pembayaran lewat VA BCA kok tidak bisa kak,
KD0149 /eti krisnawati,
"3 hari an yang lalu sudah di restart, sinyal bar kadang 2 bar kadang penuh",KN0504
terus ta coba mode turbo di aplikasi sepertinya masih lemot,KN0504
Tagihan sdh di bayar,
1 tembok kak,KN0504
Tak coba e,KD1698
di speedtest dapetnya segini kak,KN0504
Msh blm bisa wifinya,"KM1191, KM1397"
"tapi di sistem gaada kendala apa"" ya kak",KN0504
KD0149 /eti krisnawati,
"Selalu muncul begini, dan data anda tidak ditemukan 🙏",KJ1462
"Benar sekali kak, mungkin bisa dibantu untuk mengisi data berikut kak untuk memastikan lokasi kakak tercover oleh jaringan kami kak  nama: Yusron nomor: 081233882562 alamat lengkap: Kedungerjo gedang sewu Rt02/Rw05 pakis malang shareloc:",JT1204
Sudah kak trimaksih🙏,KM3132
Baik saya tunggu,
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: Sumberawan Rt009 Rw003 Toyomarto Kab Singosari  Kelurahan: Toyomarto  Share location: Dibawah saya sharelokasinya  Tahu Kapten Naratel darimana: Dari Searching Internet,   Terima kasih 😊",
Kq g ada tagihan,"KM1191, KM1397"
Nanti ada masjid,
Gang exit tol bonagung masuk,
Mba syarifa Saya mau pasang wifi Sekarang Mohon dibantu bisa,
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Nama, nomor telfon:kholiq 081331439457 Alamat Pemasangan:kelurahan joyosari no 74 (depan Arafah)  Kelurahan: joyosari Share location: Tahu Kapten Naratel darimana:   temen    Terima kasih 😊",KI3406
Ok lama gak kira2,
"Berapa lama saya harus menunggu?  Mohon dijawab, saya mau dipasang hari ini, Bisa?",
Baru faham biasa nya ada wa dr kapten,"KM1191, KM1397"
Untuk pembayaran melalu rekening mana saja ya,KN0412
Kalo bayar langsung lewat TF seperti sebelumnya apakah bisa?,KJ1462
kak virtual accountnya sudah tidak aktif,KI3013
Langsung daftar disini kah?,KP2368
Oke kak semoga segera ya kak 🙏,KJ1462
apakah bisa dikirim virtual account yg baru untuk pembayaran wifinya,KI3013
Ok saya coba nya,KT0066
Jaringannya sama sekali ga muncul kak,
Ga ada lampu yang nyala kak,
saya nempatin mulai senin malam,KI3406
Emang masih bisa pake briva yah ka,
Kak mau kode bayar atas nama subari yono,"KJ0677, KT0556"
Aku di lantai 1 kak,
sudah saya gunakan tapi tidak bisa kak,KI3013
"Baik min, terimakasih banyak",JT1125
Jt0405 dan jt0577,"JT0405, JT0577"
ini kan kak ?,KI3406
Biasanya pake wifi kertoleksono e,
Bisanya ke kertoleksono2a,
Tapi jaringannya lemot bgt,
Yang muncul cuma kertoleksono2a,
Mau bayar GJ0307 Yustina Marlinda,
Beneran yah ga ada biaya pasang di awal dan langsung bayar yg tiap bulan 120K itu?,JT1204
Bisa saya rubah sekarang ke 10 mbps itk jt405 dan jt 577,"JT0405, JT0577"
Ga ada lampu yang menyala kak tadi aku liat di modem yang paling deket sama kamar ku,
Bisa di cek perpanjangnya,JT0970
Bisa minta tagihan a/n heri tri santoso,
"Mohon maaf kak, tmn"" Gk mau lanjut untuk pake wifinya lgi kak",KT1873
pendaftaran nya bagaimana,KI3406
Terima kasih telah menghubungi Murti_Wedding12. Silakan beri tahu apa yang dapat kami bantu. Nama :  Alamat desa / kabupaten :  No hp :  Untuk tgl acara : Waktu acara :  Yang ditanyakan Pricelist apa :   Terimaksih chat masuk akan segera kami balas yha kak ☺️,KN0018
ada perangkat lain yang terhubung kak,KN0504
Baca ada kah kak,KN0412
Iya yg itu aja 120K per bulan udah cukup kenceng internetnya di saudara saya,JT1204
"oke deh kak kalo di sistem tidak ada kendala apa"" nnti tak coba restart lagi modemnya",KN0504
pagi kak  ini di rumah saya internetnya kok tidak stabil ya kak,JT0569
sudah saya restart kak modemnya  untuk sinyal full  tapi untuk bukak seperti youtube hanya muter2 saja,JT0569
Saya sudah bayar via transfer ya kak,KM3035
"Mohon di cek kak, terimakasih",KM3035
"baik kak, ini sudah mendingan",JT1186
"Assalamualaikum wr wb  Kenapa akhir2 ini kok sering muter-muter,kok tdk seperti dulu bukak aplikasi apa saja lancar,ini buka status aja muter2 blm lagi buka aplikasi lain,tlg segera dikondisikan ini sangat membuat kami kecewa.",KM1954
"Untuk setiap bulannya virtual accoutnya apa ganti kak, coz sy bayar ke no VA yg bulan kemarin gak bisa masuk",
itu berapa ya kak???,KI3406
Nah iya saya ambil yg 120K aja per bulannya,JT1204
selamat pagi. maaf ini dari kemarin kok koneksi saya sangat lambat yaa even paket saya yg 5 mbps tapi biasanya tidak seperti ini,JT1060
hanya bisa socmed sajaa untuk apps yg lain tidak bisa,JT1060
Jadi rasanya kayk lemot gitu,KT1529
sudah bisa terimakasih🙏,JT1060
Kd1067 Eni Eli ermawati,
Sudah sy restad dan sinyalx bagus penuh tp kok muter-muter ya bos....,KM1954
"Selamat pagi kak,saya atas pelanggan Jesika sudah melakukan pembayaran kak, terima kasih 🙏🏻",
La terus bayarnya gimana nih?,KM3007
"Assalamu'alaikum mas wifinya g sampai ke atas, sinyalnya nyampai tp lemot kadang ada kadang hilang",KP2337
